Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Quaterly Data,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Quaterly Data,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,19384.0,1886.0,4101.0,1346.0,,26717.0,12747.0,,520.0,7515.0,25431.0,52148.0,14248.0,9607.0,3330.0,14825.0,29073.0,1.0,-5399.0,363.0,,23075.0,52148.0,2020-12-31,10389.0,8174.0,2215.0,666.0,1056.0,,1621.0,594.0,-61.0,533.0,69.0,464.0,,464.0,,438.0,1193.0,594.0,2883.0,3399.0,0.1533,0.13,2020-12-31,464.0,621.0,568.0,1189.0,-24.0,-106.0,0.0,-554.0,-12.0,1641.0,-2576.0,0,0.0,0.0,0,0.0,-6.0,-2582.0,-1162.0,0,-1162.0,183.0,183.0,0,-37.0,-1016.0,-2178.0,614.0,0,2020-12-31,1.8751,0.294,0.5087,19.2293,5.3518,5.3518,,3.5276,2.513,0.206,2.1161,5.6967,15.7986,1.2828,1.3123,0.5676,0.9057,8.0122,0.9471,0.5806
2020-09-30,14531.0,1757.0,4218.0,1238.0,,21744.0,11848.0,,521.0,7461.0,23947.0,45691.0,13302.0,10607.0,3049.0,15497.0,28799.0,1.0,-5669.0,125.0,,16892.0,45691.0,2020-09-30,10744.0,8678.0,2066.0,522.0,969.0,,1491.0,575.0,-196.0,379.0,83.0,296.0,,296.0,,270.0,1393.0,575.0,2798.0,3249.0,0.1,0.08,2020-09-30,296.0,618.0,863.0,1481.0,-102.0,180.0,0.0,-173.0,1242.0,3019.0,-1151.0,-5,0.0,0.0,0,0.0,109.0,-1047.0,-2305.0,0,-2305.0,5043.0,5043.0,0,-46.0,2692.0,4898.0,633.0,0,2020-09-30,1.6346,0.3857,0.813,23.5207,9.2236,9.2236,,6.3277,3.4204,0.192,1.5903,4.992,18.0287,2.1845,2.254,0.8076,1.3419,5.9395,0.7135,0.4304
2020-06-30,8615.0,1485.0,4018.0,1218.0,,15336.0,11009.0,,508.0,7484.0,22799.0,38135.0,12270.0,10460.0,2870.0,15141.0,27411.0,,-6000.0,-40.0,,10724.0,38135.0,2020-06-30,8771.0,6708.0,2063.0,366.0,888.0,,1254.0,809.0,-254.0,555.0,186.0,369.0,,369.0,,300.0,894.0,809.0,2811.0,3315.0,0.1067,0.09,2020-06-30,369.0,584.0,812.0,1396.0,-314.0,-67.0,0.0,-121.0,635.0,2400.0,-1005.0,-5,-13.0,0.0,0,0.0,-16.0,-1039.0,-581.0,0,-581.0,5117.0,5117.0,0,-86.0,4450.0,5897.0,543.0,0,2020-06-30,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,3.8437,0.3162,0.1466
2020-03-31,8080.0,1274.0,4494.0,1045.0,,14893.0,10638.0,,516.0,7479.0,22357.0,37250.0,11986.0,10726.0,2667.0,15224.0,27210.0,,-6104.0,-113.0,,10040.0,37250.0,2020-03-31,6036.0,4769.0,1267.0,279.0,661.0,,940.0,327.0,-177.0,150.0,21.0,129.0,,129.0,,104.0,836.0,327.0,2784.0,3108.0,0.0367,0.0333,2020-03-31,129.0,567.0,514.0,1081.0,-222.0,446.0,0.0,-363.0,-246.0,964.0,-546.0,0,0.0,0.0,0,0.0,-20.0,-566.0,111.0,0,111.0,57.0,57.0,0,-45.0,123.0,559.0,347.0,0,2020-03-31,1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,3.618,-0.1476,-0.3001
2019-12-31,6268.0,1324.0,3552.0,959.0,,12103.0,10396.0,,537.0,7608.0,22206.0,34309.0,10667.0,11634.0,2691.0,16175.0,26842.0,1.0,-6083.0,-36.0,,7467.0,34309.0,2019-12-31,5985.0,4751.0,1234.0,324.0,627.0,,951.0,283.0,-213.0,70.0,2.0,68.0,,68.0,,16.0,798.0,283.0,2745.0,2982.0,0.0067,0.0067,2019-12-31,68.0,553.0,386.0,939.0,-14.0,-981.0,0.0,-187.0,-1447.0,-440.0,-455.0,0,0.0,0.0,0,0.0,-25.0,-480.0,287.0,0,287.0,2469.0,2469.0,0,-48.0,2708.0,1764.0,211.0,0,2019-12-31,1.1346,0.6091,1.7971,18.838,4.8619,4.8619,,2.3564,1.5303,0.2152,1.6872,5.577,16.1376,1.7678,1.9048,0.3847,0.6911,2.7503,0.5495,0.3816
2019-09-30,5571.0,1128.0,3581.0,660.0,,10940.0,10190.0,,537.0,7243.0,21855.0,32795.0,10146.0,11313.0,2714.0,15767.0,25913.0,,-6188.0,-120.0,,6882.0,32795.0,2019-09-30,7384.0,5993.0,1391.0,345.0,699.0,,1032.0,359.0,-185.0,174.0,42.0,132.0,,132.0,,113.0,847.0,359.0,2661.0,2661.0,0.0473,0.0473,2019-09-30,132.0,439.0,623.0,1062.0,-217.0,56.0,0.0,-111.0,231.0,1425.0,-412.0,0,0.0,0.0,0,0.0,9.0,-403.0,-195.0,0,-195.0,96.0,96.0,0,20.0,-79.0,957.0,281.0,0,2019-09-30,1.0783,0.6218,1.9388,18.8958,4.1409,4.1409,,2.7923,2.2688,0.1922,1.4275,5.5878,16.1066,2.1796,2.3641,0.4574,0.8244,2.5489,0.2699,0.1388
2019-06-30,5082.746,1147.1,3382.358,569.748,,10181.95,10082.46,,480.833,7409.229,21690.64,31872.6,9588.773,11234.4,2716.92,15713.59,25302.36,0.179,-6331.639,-5.605,,6570.234,31872.6,2019-06-30,6303.0,5112.0,1191.0,334.0,596.0,,930.0,261.0,-85.0,176.0,26.0,150.0,,150.0,,143.0,454.0,261.0,2691.0,2766.0,0.0533,0.0533,2019-06-30,150.0,586.0,212.0,798.0,18.0,-133.0,0.0,-133.0,-192.0,756.0,-385.0,0,-76.0,0.0,0,0.0,-25.0,-486.0,47.0,0,47.0,71.0,71.0,0,0.0,118.0,377.0,199.0,0,2019-06-30,1.0619,0.631,1.9825,14.5039,-2.6299,-2.6299,,-5.8268,-6.4252,0.1992,1.6051,5.5357,16.2581,-5.9206,-6.3881,-1.2205,-2.1848,2.4454,0.331,0.2392
2019-03-31,2329.119,1046.945,3836.85,464.908,,7677.822,9850.929,,347.88,7397.183,21234.7,28912.52,9242.8,9787.95,2686.525,14202.1,23444.9,0.174,-5923.305,-35.019,,5467.626,28912.52,2019-03-31,6350.0,5429.0,921.0,324.0,647.0,,1088.0,-167.0,-203.0,-370.0,19.0,-389.0,,-389.0,,-408.0,-14.0,-167.0,2655.0,2655.0,-0.154,-0.154,2019-03-31,-389.0,621.0,344.0,965.0,-68.0,457.0,0.0,-229.0,288.0,864.0,-250.0,-5,32.0,0.0,0,0.0,-18.0,-241.0,1147.0,0,1147.0,1040.0,1040.0,0,-44.0,2143.0,2766.0,210.0,0,2019-03-31,0.8307,0.6416,2.1021,12.4642,-11.4953,-11.4953,,-14.2039,-15.6353,0.1571,1.036,4.3374,20.7499,-12.2174,-13.0475,-2.3104,-4.3787,2.0987,-0.2466,-0.3545
2018-12-31,3879.0,949.0,3113.0,366.0,,8307.0,11330.0,,350.0,7241.0,21433.0,29740.0,9993.0,9404.0,3039.0,13990.0,23983.0,,-5318.0,-8.0,,5757.0,29740.0,2018-12-31,4541.0,3975.0,566.0,340.0,704.0,,1088.0,-522.0,-123.0,-645.0,23.0,-668.0,,-668.0,,-710.0,949.3667,-522.0,2595.0,2595.0,-0.2733,-0.2733,2018-12-31,-668.0,508.0,196.0,704.0,-100.0,-809.0,0.0,274.0,-676.0,-640.0,-280.0,0,-1.0,0.0,0,0.0,-25.0,-306.0,-677.0,0,-677.0,78.0,78.0,0,-54.0,-653.0,-1594.0,208.0,0,2018-12-31,0.8313,0.6203,2.0796,19.9632,5.7344,5.7344,,3.2109,1.9387,0.243,1.8578,7.6144,11.8198,3.6535,3.89,0.7072,1.3873,2.2185,0.4967,0.3407
2018-09-30,3126.131,1155.001,3314.127,325.232,,7920.491,11246.29,,356.702,7130.191,21342.22,29262.71,9775.324,9672.513,3011.181,14185.08,23960.41,0.171,-5457.315,8.271,,5302.305,29262.71,2018-09-30,7226.019,5783.474,1442.544,355.775,667.837,,1028.178,414.3667,-182.345,232.021,21.688,210.3329,,210.3329,,140.09,965.093,414.3662,2559.0,2559.0,0.0593,0.064,2018-09-30,210.0,535.0,291.0,826.0,189.0,88.0,0.0,-247.0,199.0,1235.0,-325.0,0,-11.0,0.0,0,0.0,-29.0,-365.0,-198.0,0,-198.0,76.0,76.0,0,10.0,-112.0,754.0,205.0,0,2018-09-30,0.8103,0.6459,2.2215,22.3329,6.0961,6.0961,,3.9713,4.5574,0.2332,1.5992,5.9082,15.233,4.7904,5.1359,0.868,1.6962,2.0602,0.5303,0.3615
