Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Quaterly Data,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Quaterly Data,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,35595.21,60684.69,30206.98,,5179.188,131666.1,40261.5,11876.49,18732.58,55359.29,194731.3,326397.4,114011.8,98853.5,22680.37,141279.7,255291.5,3506.861,53814.89,,-1189.134,71105.89,326397.4,2020-12-31,54878.67,43774.84,11103.83,1569.872,5064.168,265.8106,6368.24,4735.59,283.4296,5019.02,1048.882,3970.137,,3970.137,,3847.441,7172.279,4735.586,1069.8,1069.8,3.5877,3.5877,2020-12-31,5101.77,2436.688,2125.855,25.037,3419.827,-2803.4617,-2041.397,-2498.248,5323.55,-1989.886,-721.991,0.0,0.0,1551.378,1551.378,44.8701,-1115.628,-7127.953,1516.809,-5611.146,-0.0267,-0.0267,1.678,0.0,-5609.493,-1806.255,0,1.678,2020-12-31,1.1548,0.5816,2.3429,20.2334,8.6292,8.6292,,9.1457,7.0108,0.1681,1.4492,0.9043,99.5218,5.5834,7.5805,1.2164,2.3359,66.4665,4.9298,3.0793
2020-09-30,40803.95,61366.66,34525.25,,5289.725,141985.6,41022.55,11539.2,19206.67,56951.34,197787.8,339773.3,118888.5,108327.7,23035.14,152354.6,271243.1,3588.83,50586.14,,-881.426,68530.29,339773.3,2020-09-30,47088.49,38230.98,8857.512,1816.626,3801.588,335.503,5282.71,3574.801,-30.394,3544.408,1021.706,2522.702,,2522.702,,2395.281,6467.596,3574.801,1067.178,1067.178,2.2445,2.2445,2020-09-30,3462.792,2892.795,2700.009,-958.658,75.388,1605.2582,2351.133,2758.032,10292.906,-800.472,-860.817,0.0,0.0,-905.729,-905.729,39.9259,-2527.092,0.0,-2849.241,-2849.241,0.0679,0.0679,-1195.9143,0.0,-4045.088,3187.962,0,-1195.9143,2020-09-30,1.1943,0.6125,2.5966,18.8104,7.5917,7.5917,,7.5271,5.0868,0.1386,1.1073,0.7673,117.2898,3.6811,5.1146,0.7425,1.4264,64.059,9.6677,8.91
2020-06-30,36599.46,60613.35,33162.93,,5878.773,136254.5,40171.43,10408.7,18263.95,54825.97,188311.2,324565.8,113990.3,105585.6,21384.46,145768.0,259758.3,3380.377,47388.04,,-266.4662,64807.44,324565.8,2020-06-30,33235.6,30268.14,2967.463,1700.098,3600.597,403.0026,4897.69,-1930.227,12.1121,-1918.116,180.5804,-2098.697,,-2098.697,,-2203.301,786.4314,-1930.227,1069.8,1069.8,-2.0591,-2.0591,2020-06-30,-1919.25,2716.658,2446.949,97.9,2066.311,-494.7642,6162.3804,7629.381,8227.552,-1693.641,-863.9928,0.0,0.0,760.8402,760.8402,-27.4771,-1824.27,0.0,392.893,392.893,34.1971,34.1971,-184.9029,0.0,242.188,6402.051,0,-184.9029,2020-06-30,1.1953,0.6197,2.6775,8.9286,-5.8077,-5.8077,,-5.7713,-6.6293,0.1024,0.9127,0.5483,164.1373,-3.2384,-4.5091,-0.6466,-1.2317,60.579,7.6908,6.1076
2020-03-31,29876.86,64521.75,35515.32,,6343.4,136257.3,40713.6,11885.88,17988.78,57428.18,192124.5,328381.8,114492.3,106676.1,21355.75,144208.1,258700.4,3386.824,51773.18,,90.4624,69681.42,328381.8,2020-03-31,41064.41,34764.04,6300.375,1899.71,4202.089,457.828,5643.97,656.4023,-60.676,595.728,410.3904,185.3376,,185.3376,,103.7008,2841.842,656.4023,1069.8,1069.8,0.0993,0.0993,2020-03-31,595.728,2185.439,2153.447,2365.261,-3232.376,1351.42,-906.8304,-1083.342,1665.832,-1657.006,-773.3432,0.0,0.0,589.1088,589.1088,-26.4768,-1867.718,0.0,-2787.786,-2787.786,-33.096,-33.096,-43.0248,0.0,-2863.907,-3026.078,0,-43.0248,2020-03-31,1.1901,0.6049,2.5065,15.3427,1.5985,1.5985,,1.4507,0.2525,0.1251,0.9788,0.6364,141.411,0.266,0.3585,0.0564,0.1051,65.135,1.5571,0.0082
2019-12-31,33044.48,70686.56,33327.84,,6077.12,143136.0,41600.16,11273.92,17895.36,59100.16,195594.6,338730.6,118498.2,111080.5,21677.6,149850.4,268348.6,3438.4,51888.48,,440.16,70381.92,338730.6,2019-12-31,52330.58,44144.11,8186.477,1715.793,4983.215,-958.0856,7657.09,529.3867,-203.0492,326.325,353.1268,-26.802,,-26.802,,-136.1169,3026.675,529.3828,1069.8,1069.8,-0.1363,-0.1363,2019-12-31,366.874,2494.428,3004.005,-594.352,6226.88,-3857.184,-3223.1814,-3805.8865,1536.466,-2046.528,-1189.795,0.0,-824.3731,1219.1475,394.7745,23.112,-2818.41,2863.197,940.8,3803.993,24.7972,24.7972,-320.588,-17.312,3750.14,2129.784,0,-320.588,2019-12-31,1.2079,0.6121,2.5744,15.6438,1.0116,1.0116,,0.6236,-0.2601,0.1545,1.3245,0.7403,121.5693,-0.0381,-0.0511,-0.0079,-0.0148,65.7898,1.4228,-0.48
2019-09-30,31796.53,66953.52,39533.82,,6212.744,144496.6,40771.48,11672.66,17660.05,58781.43,195084.8,339738.5,118783.8,110630.7,20957.86,150995.1,269903.8,3415.419,51108.63,,847.736,69834.75,339738.5,2019-09-30,48116.24,38470.75,9645.484,1962.475,4604.792,-185.7899,6752.07,2893.422,-30.024,2864.724,847.736,2016.989,,2016.989,,1912.412,5027.452,2894.762,1067.7,1067.7,1.7911,1.7911,2019-09-30,2853.95,2091.402,2040.939,310.24,-1789.724,973.88,-76.862,-584.7223,4827.884,-1902.482,-971.989,0.0,-19.6342,-275.585,-295.2192,33.208,-3136.521,6728.487,-3882.883,2845.604,-0.2379,-0.2379,39.396,0.768,2887.0019,5010.714,0,39.396,2019-09-30,1.2165,0.6131,2.5449,20.0462,6.0134,6.0134,,5.951,3.9727,0.1417,0.9731,0.7187,125.2346,2.8882,3.8658,0.5937,1.1173,58.6764,4.526,2.7379
2019-06-30,27793.15,66057.48,37607.91,,6388.816,137847.4,40232.46,11272.6,17288.1,58106.3,192813.2,330614.9,123157.8,100024.8,20645.63,138062.0,261183.8,3450.203,50956.54,,468.6432,69431.13,330614.9,2019-06-30,47938.6,41704.89,6233.707,1763.312,4548.828,-1810.514,8123.15,-1889.441,10.116,-1879.068,-483.2532,-1395.815,,-1395.815,,-1492.466,182.0628,-1889.183,1069.7,1069.7,-1.3936,-1.3936,2019-06-30,-1910.511,2049.657,1857.773,91.9496,-156.754,-608.594,2965.5348,2292.6778,1765.9942,-1818.331,-1055.2546,0.0,1307.4267,-62.858,1244.5692,-21.772,-1650.774,0.0,-358.313,-358.313,34.959,34.959,-3897.3855,0.7552,-4480.7039,-4593.0928,0,-3897.3855,2019-06-30,1.1193,0.5902,2.4944,13.0035,-3.9414,-3.9414,,-3.9203,-3.1137,0.145,1.1089,0.7257,124.0164,-2.0104,-2.6769,-0.4222,-0.8238,57.7491,1.651,-0.0489
2019-03-31,32782.59,67857.23,38054.98,,6714.85,145409.7,40016.5,12036.07,17067.01,58179.08,192487.4,337906.6,118327.6,108162.2,18881.54,142487.3,260822.2,3487.004,58250.64,,531.5693,77084.37,337906.6,2019-03-31,45088.99,36489.85,8599.141,1935.458,4736.286,1126.745,5544.97,3054.168,-74.9628,2979.287,538.3843,2440.903,,2440.903,,2379.568,5099.885,3054.252,1069.7,1069.7,2.2262,2.2262,2019-03-31,2979.287,2045.633,952.963,-195.3576,-4169.522,1671.898,134.0282,-2559.029,704.2158,-1815.059,-855.2814,0.0,-463.4194,-1072.225,-1535.645,-68.148,-4274.135,0.0,4241.196,4241.196,-11.3583,-11.3583,-10.2225,-72.6912,4146.922,846.1948,0,-10.2225,2019-03-31,1.2289,0.5839,2.2826,19.0715,6.7736,6.7736,,6.6074,5.2773,0.1334,0.9589,0.6645,135.4466,3.1665,4.067,0.7224,1.3176,63.4855,0.6583,-1.0385
2018-12-31,32687.72,68528.7,34826.51,,7582.02,143625.0,36549.59,9855.444,16884.38,59747.97,188967.1,321259.4,115681.3,104709.8,19114.48,138902.1,245908.9,3502.13,58447.69,,452.8813,75350.55,321259.4,2018-12-31,53391.86,44040.28,9351.578,1714.293,5349.642,755.9639,6260.38,3091.199,-313.522,2876.152,966.4707,1909.681,,1909.681,,1815.476,5187.075,3176.211,-534.9,-534.9,-3.4193,-3.4193,2018-12-31,2876.151,2010.864,1889.91,-603.3407,3260.68,-2647.861,-3269.252,-3204.13,1364.224,-2609.82,-1016.48,0.0,320.9938,-224.4631,96.5308,27.08,-3504.179,19.77,3066.887,3086.66,0.0,0.0,0.0,-1.4274,3028.51,975.774,0,0.0,2018-12-31,1.2416,0.5731,2.1937,17.6529,5.8593,5.8593,,5.3057,3.3491,0.1655,1.3016,0.8033,112.0433,2.4859,3.2038,0.5831,1.0613,61.7318,1.2759,-1.1598
2018-09-30,32371.89,64210.11,37352.9,,7173.859,141108.8,34389.18,9658.549,16898.7,58250.11,180468.5,321666.1,112526.1,102210.6,18086.96,132832.7,245426.6,3570.475,57068.8,,432.6439,76239.53,321666.1,2018-09-30,46753.33,37493.59,9259.742,2064.363,4818.229,-97.6938,6979.69,2280.051,446.4768,2727.285,679.2044,2048.081,,2048.081,,1964.343,4145.008,2280.685,1068.988,1068.988,1.8376,1.8376,2018-09-30,2563.31,1779.937,1113.391,-780.5543,-3561.874,796.377,-2132.815,-5679.914,-2109.0567,-2158.009,-828.47,0.0,557.9999,-169.97,388.0299,-31.609,-2629.937,17215.04,-11800.87,5414.17,38.5777,38.5777,110.84,2.3322,5573.322,726.65,0,110.84,2018-09-30,1.254,0.5728,2.1529,19.8055,4.8768,4.8768,,5.8317,4.2003,0.1454,1.0038,0.7281,123.6042,2.6864,3.4514,0.6367,1.1475,61.2759,-1.9721,-3.9932
