Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Quaterly Data,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Quaterly Data,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2018-06-30,33491.79,62734.34,34766.68,,6868.184,137861.0,34244.32,9918.854,16994.21,59577.53,184220.9,321759.3,110426.4,103286.3,18843.08,135095.3,245275.8,3657.614,56475.57,,986.4836,76483.45,321759.3,2018-06-30,48605.61,38766.66,9838.949,1930.077,5030.387,314.531,6647.55,3191.398,-174.1196,3014.255,839.9407,2174.315,,2174.315,,2056.365,4969.352,3188.201,1069.8,1069.8,1.9182,1.9182,2018-06-30,2891.308,1725.187,1711.925,344.8078,-1698.754,797.536,-2949.312,-3505.697,144.3523,-1710.029,-897.9462,0.0,139.5998,-158.1567,-18.5568,-21.549,-2648.19,0.0,7398.853,7398.853,94.5957,94.5957,-4647.5209,-83.1892,2447.11,253.628,0,-4647.5209,2018-06-30,1.2484,0.5743,2.1361,20.2424,6.5659,6.5659,,6.2077,4.235,0.1509,1.1151,0.7748,116.1613,2.8429,3.655,0.6758,1.2102,60.0075,0.1349,-1.4635
2018-03-31,33415.8,63734.02,33900.11,,6694.223,137744.2,34534.38,11859.32,17163.07,59333.48,185273.6,323036.3,110696.8,98632.23,18953.04,130103.4,240814.0,3773.86,61046.99,,1273.524,82222.2,323036.3,2018-03-31,48903.72,38301.87,10601.85,2104.511,5000.386,46.7123,7058.07,3543.785,447.4288,3991.441,1097.738,2893.702,,2893.702,,2794.131,5360.848,3543.986,1069.8,1069.8,2.6061,2.6061,2018-03-31,3991.441,1816.861,1396.451,-4.9168,-2546.902,3054.562,-4429.061,-3926.289,999.3967,-1535.359,-940.3918,0.0,-470.8105,67.6099,-403.2007,122.92,-2756.024,0.0,4402.017,4402.017,-54.0879,-54.0879,-4.9171,-9.8336,4333.178,2441.331,0,-4.9171,2018-03-31,1.2443,0.5454,1.9344,21.679,7.2464,7.2464,,8.1614,5.7132,0.1514,1.1298,0.7673,117.2929,3.5194,4.4478,0.8958,1.6,62.5229,0.9342,-0.501
2017-12-31,27946.67,58056.73,29032.89,,5606.288,120642.6,31626.92,10205.48,16141.58,55225.33,168267.8,300085.3,98454.78,88590.66,12249.06,116631.1,223509.5,3607.91,53894.96,,1767.524,76575.84,300085.3,2017-12-31,51188.46,40496.33,10692.14,1679.382,5499.36,118.6967,6865.37,3826.766,190.2747,3897.013,117.5215,3779.492,,3779.492,,3679.599,5548.19,3764.214,-534.9,-534.9,-6.8868,-6.8868,2017-12-31,3897.01,1783.977,1358.549,-1063.7002,1534.6,-3230.095,-7309.837,-10158.559,-6424.901,-2808.764,-1038.89,0.0,-678.0995,-55.2351,-733.3342,-100.0858,-4682.059,3968.71,882.5865,4851.29,56.4103,56.4103,0.0,0.45,4903.0,-6262.721,0,0.0,2017-12-31,1.2199,0.546,1.951,21.1176,7.3441,7.3441,,7.6032,7.1791,0.1708,1.3394,0.8477,106.1704,4.9356,6.2539,1.2595,2.2405,60.9076,-6.0141,-8.6318
2017-09-30,35145.0,56654.16,31683.74,,5911.759,129394.7,31502.74,10442.54,15616.26,56677.67,171029.7,300402.6,100204.9,92238.72,12217.24,126492.8,226681.4,3607.91,52593.5,,2371.584,73721.24,300402.6,2017-09-30,47960.47,38049.16,9911.305,1935.579,4678.869,472.4365,5984.63,3926.68,19.9801,3888.787,1259.831,2628.956,,2628.956,,2522.012,5505.883,3879.385,1067.662,1067.662,2.3622,2.3622,2017-09-30,4440.018,1834.765,1379.249,-959.0175,-1432.546,1772.286,-2955.491,-3569.297,1714.402,-1770.915,-1079.959,0.0,-729.363,-308.7827,-1038.1461,-0.6739,-3889.717,14885.27,-6748.237,8137.033,12.8033,12.8033,-261.048,-11.753,7855.269,5329.206,0,-261.048,2017-09-30,1.2913,0.5558,1.9749,20.913,8.1016,8.1016,,8.1212,5.2669,0.1594,1.1953,0.8453,106.4759,3.5661,4.5245,0.8751,1.5842,58.6371,1.6109,-0.0522
2017-06-30,27347.91,52064.87,28847.08,,5421.407,113681.3,29167.15,9047.777,14230.27,52913.99,157549.7,271289.3,91428.09,81648.88,11270.67,113064.2,204536.3,3377.419,46670.96,,2588.621,66752.98,271289.3,2017-06-30,45269.68,35713.75,9555.93,1555.593,4560.185,235.4292,5721.68,3834.254,180.3836,4016.598,1253.056,2763.543,,2763.543,,2688.734,5326.861,3803.172,1069.8,1069.8,2.5083,2.5083,2017-06-30,4144.945,1571.989,1199.9605,185.9802,-445.421,498.759,-4374.62,-4144.276,595.702,-1474.419,-990.9721,0.0,-184.861,-327.2304,-512.091,-0.8373,-2978.2783,0.0,7109.3952,7109.3952,60.1472,60.1472,-3825.175,0.0,3089.8189,100.928,0,-3825.175,2017-06-30,1.2434,0.5502,1.9694,21.3374,8.3879,8.3879,,8.8586,5.93,0.1671,1.2361,0.8707,103.3688,4.14,5.2616,1.0187,1.862,56.7181,0.5569,-0.8214
2017-03-31,25672.71,51357.15,28407.3,,5193.156,110630.3,28330.57,8815.47,13362.85,51314.52,153521.5,264068.5,92578.42,78094.49,11751.47,109257.7,201772.4,3270.666,42814.5,,2621.86,62296.07,264068.5,2017-03-31,41323.58,32678.63,8644.957,1542.646,4221.238,531.6164,5085.51,3559.438,626.6316,3932.257,1106.913,2825.344,,2825.344,,2724.135,4767.502,3287.712,1069.8,1069.8,2.5462,2.5462,2017-03-31,3932.257,1479.79,429.3415,37.2995,-1301.22,2414.876,-2407.722,-1282.698,2173.342,-917.278,-902.3629,0.0,2223.414,-116.1246,2107.289,76.7304,364.3543,0.0,-361.1582,-361.1582,-44.7453,-44.7453,0.0,0.0,-418.6879,2114.747,0,0.0,2017-03-31,1.195,0.5562,2.006,20.7428,7.9985,7.9985,,9.5666,6.6274,0.1557,1.1472,0.8006,112.4149,4.5353,5.7739,1.0699,2.0128,54.6663,2.0315,1.1741
2016-12-31,25967.48,53382.38,28089.93,,5490.949,112930.7,29193.21,8960.14,,52684.12,155959.8,0.0,93460.12,77902.43,12106.2,109993.8,,,45142.64,,,,,2016-12-31,44256.7,35139.23,9117.473,1634.086,4693.951,507.71,5767.38,3350.094,265.7128,3765.796,1293.372,2472.424,,2472.424,,2408.54,5027.786,3481.12,-534.9,-534.9,-4.5055,-4.5055,2016-12-31,3765.79,1546.666,1285.526,-95.861,2332.121,-2798.2318,-3252.483,-3830.798,317.178,-2210.163,-905.584,-4090.82,2662.956,-4114.356,-1451.4,-17.0784,-8674.779,17102.99,-12414.8014,4688.19,39.2271,39.2271,0.0,-109.5158,4613.102,-3595.439,0,0.0,2016-12-31,1.2083,0.5435,1.9902,20.6117,7.5754,7.5754,,8.1949,5.2413,0.1687,1.2823,0.8499,105.8901,3.7306,4.6901,0.9079,1.7031,55.2748,0.2965,-1.7694
2016-09-30,28821.82,51111.68,30277.08,,5594.508,115805.1,28286.14,9308.556,12283.81,46106.43,146586.6,262391.7,92814.38,74662.63,11229.19,108473.0,201287.3,3426.12,40697.17,,2498.724,61104.35,262391.7,2016-09-30,43074.25,33251.22,9823.035,1454.763,4311.108,430.3767,5331.13,4491.902,-72.54,4438.259,1383.033,3055.226,,3055.226,,2908.405,6101.486,4511.11,1069.8,1069.8,2.7235,2.7235,2016-09-30,4423.429,1582.814,1287.537,-572.1282,-1010.119,575.3,-3177.43,-4189.324,895.942,-1365.257,-854.644,0.0,-4604.6931,4016.1995,-588.4936,46.7478,-2761.347,0.0,2114.51,2114.51,0.0226,0.0226,9.816,-4.464,2118.168,213.837,0,9.816,2016-09-30,0.0,0.0,0.0,22.8049,10.4283,10.4283,,10.2599,6.7233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8375,-0.4387
2016-06-30,28408.82,50834.22,29598.5,,5193.69,114035.2,28302.62,9188.663,12038.02,45810.0,145975.8,260011.0,94078.45,73701.38,11379.35,106854.2,200932.6,3468.486,38648.2,,2448.277,59078.37,260011.0,2016-06-30,43628.36,34855.46,8772.895,1419.101,4258.216,-205.618,5891.91,2880.988,707.2548,3568.539,813.4832,2755.056,,2755.056,,2729.214,4375.281,2865.169,1069.8,1069.8,2.5506,2.5506,2016-06-30,3611.459,1537.686,695.634,-174.9568,-752.817,1144.483,-1927.074,-1709.89,1598.273,-1423.431,-846.679,0.0,1643.2051,-151.2434,1491.9616,-25.1118,-803.33,0.0,4599.334,4599.334,32.923,32.923,-3905.6391,0.0,506.399,1478.912,0,-3905.6391,2016-06-30,0.0,0.0,0.0,20.1083,6.6035,6.6035,,8.2246,6.2901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4938,0.1634
2016-03-31,27726.77,48226.66,27841.43,,4822.335,108617.2,26959.43,10778.04,11334.8,43063.65,138233.7,246850.9,87725.92,68061.73,10080.16,98763.05,186489.0,3384.675,40151.95,,2519.212,60361.88,246850.9,2016-03-31,38639.32,30982.46,7656.861,1365.441,4049.482,438.9706,4975.58,2681.281,-390.285,2291.912,747.7941,1544.118,,1544.118,,1492.279,4154.779,2682.353,1069.653,1069.653,1.3897,1.3897,2016-03-31,2291.912,1472.426,1626.838,-221.603,-1976.78,1916.145,-1625.735,-1908.088,1347.794,-1191.176,-692.647,0.0,-2312.868,-36.3971,-2349.265,35.28,-4197.794,0.0,6264.706,6264.706,-41.9118,-41.9118,-1.1029,0.0,6221.691,3073.897,0,-1.1029,2016-03-31,0.0,0.0,0.0,19.8163,6.9393,6.9393,,5.9292,3.8605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.1464
2015-12-31,19607.0,44209.0,23760.0,,4739.52,91847.0,67360.0,10751.88,11173.57,86506.66,179436.4,217166.0,77081.0,59831.0,20600.47,88272.61,162542.0,3406.77,36991.0,,2936.26,54624.0,240989.1,2015-12-31,40820.15,23061.47,17758.68,1436.53,2223.96,,3660.49,14098.19,5.63,1645.08,558.75,1086.33,,2119.36,0.0,2119.36,15649.12,14098.19,1104.737,1104.737,1.92,1.92,2015-12-31,3064.98,1550.93,1550.93,0.0,0.0,0.0,0.0,-5860.18,-1394.73,-1845.87,0.0,0.0,0.0,0.0,-3414.1,-299.3,-5559.28,0.0,39.94,4471.1,0.0,29.86,302.44,-304.05,4539.3,-2360.61,0,0.0,2015-12-31,1.1916,0.5227,1.9346,21.0995,34.5373,34.5373,,4.0301,5.1919,0.188,0.9706,0.9233,97.4717,3.7472,4.8777,0.9759,1.8517,0.0,-1.2924,-2.9044
2015-09-30,19242.4,45364.03,27632.53,,7753.7,99992.69,,4566.11,10899.02,47936.36,67060.83,234817.6,81001.73,64889.05,24912.22,97280.16,178281.9,3415.68,37589.19,,2278.6,56535.65,234817.6,2015-09-30,41465.82,32537.98,8927.84,1259.46,3696.05,,4955.51,3972.328,-52.29,3927.47,1240.54,2686.93,,2686.446,0.0,2686.446,5461.278,3972.328,1082.96,1082.96,2.48,2.48,2015-09-30,3968.6,1488.95,1488.95,0.0,0.0,0.0,0.0,-5397.07,532.67,-1194.51,0.0,0.0,0.0,0.0,-183.24,-765.18,-2142.93,0.0,0.0,4275.98,0.0,25.67,-18.47,0.0,4283.17,2464.42,0,0.0,2015-09-30,1.2345,0.5344,1.8868,21.5486,9.5798,9.5798,,9.4716,6.4787,0.1766,1.1775,0.9141,98.4609,4.7518,5.8866,1.1441,2.2124,0.0,0.5247,-0.6388
2015-06-30,18870.65,43224.76,26355.21,,4319.71,92770.35,,9717.96,10663.76,44488.04,69085.48,228503.3,79961.66,63417.33,23484.62,93867.69,173829.4,3396.03,35898.4,,2217.93,54673.93,228503.3,2015-06-30,41504.86,32274.49,9230.369,1315.27,4091.83,,5407.1,3823.266,179.2,4009.97,1386.06,2623.91,,2623.432,0.0,2623.432,5215.076,3823.266,1118.868,1118.868,2.34,2.34,2015-06-30,3946.96,1391.81,1391.81,0.0,0.0,0.0,0.0,-5544.59,-1009.03,-1039.76,0.0,0.0,0.0,0.0,509.04,-843.35,-1374.06,0.0,0.0,3221.42,0.0,43.74,-3141.7,0.0,123.47,-2685.75,0,0.0,2015-06-30,1.1602,0.537,1.9105,22.2573,9.2116,9.2116,,9.6614,6.3208,0.1816,1.2246,0.9602,93.7295,4.7983,5.961,1.1481,2.2215,0.0,-0.8995,-1.8299
2015-03-31,22421.62,43757.44,26542.5,,4363.55,97085.13,,9631.19,10766.66,44478.68,71716.45,236201.9,86170.6,61401.28,29855.24,97456.46,183627.1,3465.1,33726.68,,1952.65,52574.84,236201.9,2015-03-31,37298.1,30143.06,7155.041,1270.91,3939.16,,5210.07,1944.973,-127.54,3161.48,847.65,2313.83,,2233.354,0.0,2233.354,3487.903,1944.973,1120.219,1120.219,1.99,1.99,2015-03-31,3161.48,1542.93,1542.93,0.0,0.0,0.0,0.0,-2314.96,2117.44,-1002.28,0.0,0.0,0.0,0.0,-65.46,-644.48,-1712.23,0.0,0.0,1822.85,0.0,-30.47,-50.79,0.0,1741.58,2880.44,0,0.0,2015-03-31,1.1267,0.5387,2.013,22.787,5.2147,5.2147,,8.4762,5.9878,0.1579,1.1357,0.8524,105.5863,4.248,5.3419,0.9455,1.9595,0.0,1.8902,0.9955
2014-12-31,22970.3,47061.2,27734.51,,4782.82,102548.8,,9706.54,12451.55,47143.62,74783.74,252081.8,89028.53,66995.39,30609.79,103787.8,192816.3,4080.95,37867.76,,1490.14,59265.51,252081.8,2014-12-31,40929.75,35703.9,5225.852,1579.72,4865.7,,6445.42,-1219.566,-413.29,2483.789,1037.21,1446.579,,1254.832,0.0,1254.832,551.9033,-1219.566,1069.8,1069.8,1.17,1.17,2014-12-31,2687.5,1771.47,1771.47,0.0,0.0,0.0,0.0,-7465.64,-6032.48,-1998.82,0.0,0.0,0.0,0.0,-2778.67,3242.39,-1535.09,0.0,2830.07,797.32,0.0,13.3,-11.46,-0.03,3629.21,-3908.38,0,0.0,2014-12-31,1.1519,0.5306,1.9444,22.8257,-2.9797,-2.9797,,6.0684,3.0658,0.1624,1.2873,0.8697,103.4824,2.1173,2.6805,0.4978,0.9938,0.0,-5.5205,-7.5025
2014-09-30,26938.71,44839.93,28489.86,,4474.3,104742.8,,11624.97,12280.45,43941.61,71770.67,248394.3,87031.37,66351.63,29788.9,101542.3,188573.7,4073.58,38496.02,,1452.95,59820.63,248394.3,2014-09-30,42041.09,33997.83,8043.262,1498.07,4735.7,,6233.77,1809.492,1033.65,4751.62,1008.44,3743.18,,3580.639,0.0,3580.639,3327.772,1809.492,1101.953,1101.953,3.25,3.25,2014-09-30,4545.76,1518.28,1518.28,0.0,0.0,0.0,0.0,-4028.22,2087.84,-1298.17,0.0,0.0,0.0,0.0,4768.77,-3124.96,345.64,0.0,0.0,2797.1,0.0,43.62,113.61,-3337.13,-382.79,2421.27,0,0.0,2014-09-30,1.2035,0.5259,1.8553,23.6715,4.3041,4.3041,,11.3023,8.517,0.1693,1.1933,0.9376,95.9917,5.9856,7.5318,1.4415,2.8379,0.0,1.8333,0.7334
2014-06-30,24658.09,43256.96,27186.33,,6535.25,101636.7,,11431.2,12727.56,41715.05,68846.5,241457.4,84460.35,65548.71,27905.15,98393.71,182854.1,4211.42,37219.67,,927.33,58603.29,241457.4,2014-06-30,42460.88,33888.94,8571.938,1471.94,4963.17,,6435.11,2136.824,1078.24,4026.23,1013.76,3012.47,,2832.161,0.0,2832.161,3822.984,2136.824,1069.8,1069.8,2.65,2.65,2014-06-30,4028.38,1686.16,1686.16,0.0,0.0,0.0,0.0,-3647.48,-69.13,-1511.63,0.0,0.0,0.0,0.0,-2066.6,2301.38,-1276.85,0.0,0.0,-21.92,0.0,-6.88,-3466.58,3323.87,-171.53,-1405.09,0,0.0,2014-06-30,1.2034,0.528,1.9067,22.0983,5.0325,5.0325,,9.4822,6.67,0.1759,1.2465,0.9816,91.6874,4.8328,6.1735,1.1729,2.2812,0.0,0.0531,-1.4285
2014-03-31,26605.5,41827.66,26129.95,,6482.46,101045.6,,10107.43,12859.4,39590.99,65153.54,235272.4,80949.95,63196.49,27072.85,94726.2,175676.2,4207.43,38093.04,,1071.73,59596.19,235272.4,2014-03-31,40658.64,31583.17,9075.471,1474.65,4396.56,,5871.21,3204.262,-655.09,2261.32,772.96,1488.36,,1498.974,0.0,1498.974,4873.521,3204.262,1131.25,1131.25,1.33,1.33,2014-03-31,2261.32,1669.26,1669.26,0.0,0.0,0.0,0.0,-1306.08,2320.25,-1352.68,0.0,0.0,0.0,0.0,731.84,-513.93,-1134.77,0.0,0.0,21.92,0.0,-28.78,-45.22,0.0,-52.07,1049.8,0,0.0,2014-03-31,1.2482,0.5147,1.79,21.6132,7.8809,7.8809,,5.5617,3.6867,0.1728,1.2087,0.9721,92.5877,2.5152,3.2073,0.6371,1.2207,0.0,2.0511,0.8553
2013-12-31,25464.82,10364.72,23044.67,,34692.53,93566.78,,11451.27,12470.08,37590.88,63941.69,223842.5,78513.15,59436.11,23485.67,87730.22,166243.4,4076.55,36698.27,,1083.89,57599.07,223842.5,2013-12-31,43381.44,34068.77,9312.672,1497.11,4680.909,,6178.02,3134.652,-229.95,3113.739,773.84,2339.899,,2265.801,0.0,2265.801,4624.772,3134.652,1095.425,1095.425,2.07,2.07,2013-12-31,3015.75,1490.12,1490.12,0.0,0.0,0.0,0.0,-3652.69,177.41,-2218.91,0.0,0.0,0.0,0.0,-751.56,-591.05,-3561.54,0.0,1122.41,3033.91,0.0,12.2,-76.98,-0.23,4091.3,580.42,0,0.0,2013-12-31,1.1917,0.5078,1.7927,21.9488,7.2258,7.2258,,7.1776,5.223,0.1938,1.4784,4.1855,21.5029,3.9337,5.0207,1.0122,1.936,0.0,0.1878,-1.8634
2013-09-30,24763.94,39511.82,25126.9,,4085.37,93488.05,,10956.59,12221.68,37210.81,63147.1,220903.0,78778.58,60022.15,22407.3,86766.51,165545.1,4065.5,33744.08,,1828.08,55357.88,220903.0,2013-09-30,41515.34,31111.9,10403.44,1315.42,4408.6,,5724.02,4679.418,-291.44,2744.77,231.82,2512.95,,2616.519,0.0,2616.519,6179.708,4679.418,1102.907,1102.907,2.37,2.37,2013-09-30,2854.16,1500.29,1500.29,0.0,0.0,0.0,0.0,-1685.79,2135.79,-36.7,0.0,-2726.71,0.0,0.0,2802.83,-2002.01,-1962.6,0.0,0.0,-1058.98,0.0,35.23,-265.04,-84.78,-1330.47,-1302.61,0,0.0,2013-09-30,1.1867,0.5202,2.0102,21.1012,11.2715,11.2715,,6.6115,6.3025,0.1879,1.2382,1.0507,85.6566,4.7266,6.0657,1.1845,2.2677,0.0,1.8765,1.9636
2013-06-30,22381.81,39182.22,25133.35,,7275.16,93972.56,,6056.76,12028.64,40928.2,61806.92,218461.4,79816.6,60060.95,22691.31,86314.75,166131.4,4005.19,30631.19,,1981.05,52330.02,218461.4,2013-06-30,39199.59,30206.77,8992.82,1296.75,4605.9,,5902.65,3090.172,3939.9,6605.24,620.3,5984.94,,3741.467,0.0,3741.467,4502.942,3090.172,1068.4,1068.4,3.5,3.5,2013-06-30,6593.84,1412.77,1412.77,0.0,0.0,0.0,0.0,-2409.76,1476.99,-2772.87,0.0,2726.71,0.0,0.0,-1257.05,741.6,-561.59,0.0,0.0,2603.91,0.0,74.65,-3095.84,21.13,-439.22,323.7,0,0.0,2013-06-30,1.1774,0.5344,2.156,21.8574,7.8832,7.8832,,16.8503,9.5447,0.1794,1.2019,1.0004,89.9601,7.1498,9.2837,1.7126,3.329,0.0,1.4108,-1.2508
2013-03-31,20948.14,40205.55,25042.94,,7160.59,93357.24,,8213.35,11899.98,42211.99,66167.81,222378.8,80520.74,59728.45,25563.37,88782.95,169303.7,4047.23,29994.99,,3162.23,53075.08,222378.8,2013-03-31,33992.63,27423.2,6569.43,1338.07,4381.42,,5719.49,849.9414,-331.54,1003.88,258.89,744.99,,734.497,0.0,734.497,2248.771,849.9414,1128.0,1128.0,0.65,0.65,2013-03-31,1003.88,1398.83,1398.83,0.0,0.0,0.0,0.0,-1232.39,573.27,-1340.71,0.0,0.0,0.0,0.0,-966.89,-677.62,-2985.23,0.0,0.0,2879.56,0.0,-19.81,-39.62,-21.13,2798.98,474.2,0,0.0,2013-03-31,1.1594,0.5295,1.9622,20.7543,2.5004,2.5004,,2.9532,2.1608,0.1529,1.095,0.8455,106.4495,1.3839,1.7838,0.3303,0.6511,0.0,0.5082,-0.6804
2012-12-31,19362.22,37992.68,22789.69,,6613.12,86757.73,,7954.52,11426.99,40536.57,62842.67,209606.0,75517.21,55739.57,14130.38,75558.38,151075.6,3939.32,35981.21,,3143.22,58530.41,209606.0,2012-12-31,40451.84,30539.23,9912.609,1365.89,5851.639,,7217.53,2695.078,1733.16,2688.57,-353.41,3041.98,,3198.99,0.0,3198.99,4110.128,2695.078,1128.708,1128.708,2.83,2.83,2012-12-31,2874.48,1415.05,1415.05,0.0,0.0,0.0,0.0,-2959.56,-895.38,-1913.9,0.0,0.0,0.0,0.0,-78.83,-730.04,-2722.79,0.0,-87.45,2385.06,0.0,16.41,-579.13,412.58,2147.46,-1556.27,0,0.0,2012-12-31,1.1488,0.4878,1.6755,20.2041,6.6624,6.6624,,6.6463,7.9081,0.193,1.34,1.0647,84.5287,5.4655,6.7914,1.5262,2.7995,0.0,-0.8096,-2.6318
2012-09-30,18516.96,37464.41,24636.31,,6771.32,87389.01,,8290.52,10917.21,38714.57,60780.49,205173.3,74467.05,54908.92,17047.82,77185.08,151652.2,3831.78,32223.55,,2564.11,53521.12,205173.3,2012-09-30,37066.45,27843.65,9222.799,1316.47,4048.27,,5364.74,3858.059,-495.55,2051.04,543.1,1507.94,,1563.25,0.0,1563.25,5075.099,3858.059,1170.1,1170.1,1.34,1.34,2012-09-30,1916.38,1217.04,1217.04,0.0,0.0,0.0,0.0,-1104.67,-569.44,-1147.98,0.0,0.0,0.0,0.0,-1835.74,-662.33,-3646.04,0.0,0.0,4388.88,0.0,28.61,79.06,-12.96,4483.59,146.65,0,0.0,2012-09-30,1.1735,0.5064,1.7814,21.3437,10.4085,10.4085,,5.5334,4.2174,0.1807,1.1302,0.9894,90.9663,2.9208,3.6693,0.7619,1.4417,0.0,-0.4881,-1.3829
2012-06-30,16787.25,38038.96,24368.06,,6216.03,85410.31,,8962.28,10991.46,38938.54,61943.1,204780.7,72991.1,55540.73,17783.21,78071.09,151062.2,3932.4,31673.85,,2815.65,53718.46,204780.7,2012-06-30,37118.83,28710.41,8408.418,1327.5,4577.52,,5905.02,2503.398,88.67,2592.04,645.12,1946.92,,1946.927,0.0,1946.927,3765.968,2503.398,1130.619,1130.619,1.72,1.72,2012-06-30,2540.79,1262.57,1262.57,0.0,0.0,0.0,0.0,-4614.67,670.21,-1600.09,0.0,0.0,0.0,0.0,-1513.0,-445.81,-3558.91,0.0,0.0,6510.6,0.0,32.64,-3014.84,-456.13,3072.27,271.71,0,0.0,2012-06-30,1.1701,0.5083,1.7353,22.6527,6.7443,6.7443,,6.9831,5.2451,0.1813,1.1782,0.9758,92.231,3.6243,4.5567,0.9507,1.7819,0.0,0.6237,-0.727
2012-03-31,16362.58,37494.6,24378.04,,6187.92,84423.15,,7820.11,10915.38,38321.83,60241.73,200172.7,70110.96,30950.08,38222.2,73898.43,144009.4,4011.66,33515.71,,3044.14,56163.24,200172.7,2012-03-31,35411.42,27091.81,8319.611,1364.75,4073.27,,5438.02,2881.592,-287.11,2594.46,738.09,1856.37,,1754.118,0.0,1754.118,4217.492,2881.592,1070.237,1070.237,1.64,1.64,2012-03-31,2594.46,1335.9,1335.9,0.0,0.0,0.0,0.0,-3843.85,-620.1,-1293.95,0.0,0.0,0.0,0.0,412.96,-591.26,-1472.25,0.0,0.0,5124.69,0.0,-26.22,0.0,-3.93,5094.54,2964.17,0,0.0,2012-03-31,1.2041,0.3553,0.6948,23.4941,8.1375,8.1375,,7.3266,4.9535,0.1769,1.1113,0.9444,95.2945,3.1233,3.8767,0.8763,2.0136,0.0,-0.5794,-1.7884
2011-12-31,17990.79,39568.05,23790.41,,3775.88,85125.15,,11929.33,11503.13,35414.71,62708.01,206318.2,76402.04,49397.04,18489.42,72342.02,148744.1,4261.96,33744.75,,3000.09,57574.17,206318.2,2011-12-31,39219.91,30038.6,9181.311,1694.01,4859.199,,6553.21,2628.102,68.39,2769.659,363.15,2406.509,,2314.118,0.0,2314.118,3787.271,2628.102,1066.3,1066.3,2.17,2.17,2011-12-31,5758.69,1159.17,1159.17,0.0,0.0,0.0,0.0,-2541.67,-1559.81,-1692.39,0.0,-246.36,0.0,0.0,-1469.38,548.95,-2859.2,0.0,3605.95,7628.36,0.0,16.0,335.79,-7636.18,3949.92,-324.74,0,0.0,2011-12-31,1.1142,0.4618,1.5039,23.6,6.7009,6.7009,,7.0619,5.9004,0.1901,1.2626,0.9912,90.7989,4.0194,5.0229,1.1216,2.1633,0.0,-1.4344,-3.2018
2011-09-30,19305.78,37403.83,24333.65,,3810.18,84853.47,,11928.95,11334.27,33031.52,59935.01,200695.3,72597.44,47547.33,18609.17,71599.21,144196.7,4332.65,31876.15,,3442.05,56498.65,200695.3,2011-09-30,36777.03,28684.71,8092.32,1458.37,4274.6,,5732.97,2359.352,-176.99,2796.4,870.77,1925.63,,1894.072,0.0,1894.072,3595.182,2359.352,1123.945,1123.945,1.69,1.69,2011-09-30,1859.29,1235.83,1235.83,0.0,0.0,0.0,0.0,-3616.68,106.96,-1339.17,0.0,183.05,0.0,0.0,-503.5,-1807.41,-3467.02,0.0,0.0,-4092.23,0.0,26.63,37.1,7246.94,3218.44,4.61,0,0.0,2011-09-30,1.1688,0.457,1.4442,23.6695,6.4153,6.4153,,7.6037,5.1501,0.1832,1.1788,0.9832,91.5339,3.3524,4.1937,0.9438,1.8204,0.0,0.071,-1.0003
