Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Quaterly Data,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Quaterly Data,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,49961,9993,10808,0,3581,116744,37083,32852,0,12882,150517,267261,97192,110341,28379,139258,236450,41,18243,-8294,0,30811,267261,2020-12-31,35952,33075,2877,0,5319,0,5319,-2442,-1368,-3810,-1019,-2791,,-2791,,-2788,-717,-2442,3973,3973,-0.7,-0.7,2020-12-31,-2791,1725,1018,2743,961,350,2951,325,4587,4539,-1531,0,0,0,-4234,-4234,20,-5745,1702,524,2226,0,0,0,58,2284,1463,29.0,0,2020-12-31,1.2012,0.7817,5.2476,8.0023,-6.7924,-6.7924,,-10.5975,-7.7548,0.1345,3.0602,3.5977,25.0159,-9.0585,-9.0585,-1.0443,-1.9773,7.4766,1.1822,0.7883
2020-09-30,44831,10114,10583,0,4390,111765,36118,32636,0,12858,148178,259943,93159,106280,26826,133623,226782,41,21031,-8613,0,33161,259943,2020-09-30,37501,31223,6278,0,3927,0,3927,2351,405,2756,366,2390,,2390,,2385,3871,2351,3976,4005,0.6,0.6,2020-09-30,2390,1520,103,1623,1088,-268,6343,-88,7075,11088,-1256,0,27113,0,5821,5821,-30333,1345,-17274,-2026,-19300,0,0,0,-60,-19360,-6709,63.0,0,2020-09-30,1.1997,0.7622,4.7428,16.7409,6.2692,6.2692,,7.3491,6.3598,0.1443,2.9503,3.7078,24.273,7.2073,7.2073,0.9194,1.714,8.0959,2.7615,2.4503
2020-06-30,57130,9107,10220,0,4934,124111,35276,32367,0,12559,145255,269366,92780,119886,25391,145731,238511,41,18645,-8471,0,30855,269366,2020-06-30,19371,17932,1439,0,4198,0,4198,-2759,3843,1084,-34,1118,,1118,,1117,-689,-2759,3975,3992,0.28,0.28,2020-06-30,1118,2070,-3712,-1642,11033,1243,-2679,42,9639,9115,-1175,0,-27113,0,-5574,-5574,22761,-11101,7215,-167,7048,0,0,0,-111,6937,5021,69.0,0,2020-06-30,1.3377,0.7953,5.6791,7.4286,-14.2429,-14.2429,,5.596,5.7664,0.0719,1.7546,2.127,42.3122,3.6234,3.6234,0.415,0.7417,7.533,2.2842,1.9931
2020-03-31,46370,6625,11312,0,5080,124276,35294,30789,0,11728,139874,264150,94494,114414,25105,139958,234452,41,17527,-8461,0,29698,264150,2020-03-31,34320,30522,3798,0,5356,0,5356,-1558,412,-1146,847,-1993,,-1993,,-1993,584,-1558,3963,3963,-0.5,-0.5,2020-03-31,-1993,2142,1609,3751,-1041,-1177,194,-207,-2231,-473,-1780,0,1340,0,-3246,-3246,572,-3114,13743,-622,13121,0,0,-596,-71,12454,8419,38.0,-596,2020-03-31,1.3152,0.7939,5.6343,11.0664,-4.5396,-4.5396,,-3.3392,-5.8071,0.1299,2.6982,5.1804,17.3733,-6.7109,-6.7109,-0.7545,-1.383,7.254,-0.1194,-0.5685
2019-12-31,34651,9237,10786,0,5722,114047,36469,31749,0,10706,144490,258537,98132,101361,25324,127175,225307,41,20320,-7728,0,33230,258537,2019-12-31,39715,34812,4903,0,5360,0,5360,-457,-1979,-2436,-764,-1672,,-1672,,-1672,1614,-457,3972,4004,-0.43,-0.43,2019-12-31,-1672,2071,1333,3404,-1031,1996,34,169,1168,2900,-2274,0,0,0,-708,-708,-2368,-5350,249,-290,-41,0,0,-595,-53,-689,-2940,-10.0,-595,2019-12-31,1.1622,0.7531,4.6737,12.3455,-1.1507,-1.1507,,-6.1337,-4.21,0.1536,3.2275,4.2996,20.9324,-5.0316,-5.0316,-0.6467,-1.2423,8.1128,0.727,0.1581
2019-09-30,37331,10621,12451,0,4168,115754,35404,32075,0,10717,142403,258157,99087,99507,23729,123683,222770,41,22590,-7842,0,35387,258157,2019-09-30,36990,32282,4708,0,4969,0,4969,-261,242,-19,-442,423,,423,,425,1757,-261,3970,4007,0.11,0.11,2019-09-30,423,2018,818,2836,2016,-610,297,-230,1473,4732,-1805,0,26202,0,-705,-705,-28239,-4547,392,-1165,-773,-237,-237,-598,-24,-1632,-1625,69.0,-598,2019-09-30,1.1682,0.7377,4.355,12.7278,-0.7056,-0.7056,,-0.0514,1.149,0.1433,2.5927,3.4827,25.8419,1.1954,1.1954,0.1639,0.3136,8.669,1.1847,0.7329
2019-06-30,38048,10941,12437,0,3169,118351,36581,32435,0,10789,143833,262184,98334,103213,24032,127714,226048,41,22769,-7436,0,36136,262184,2019-06-30,38853,33657,5196,0,5106,0,5106,90,115,205,55,150,,150,,148,2349,90,3984,4013,0.04,0.04,2019-06-30,150,2259,289,2548,1803,-97,1985,74,3765,6463,-1920,0,-26202,0,352,352,25280,-2490,-1668,-349,-2017,0,0,-599,-65,-2681,1287,84.0,-599,2019-06-30,1.2036,0.7407,4.3188,13.3735,0.2316,0.2316,,0.5276,0.3809,0.1482,2.7062,3.5511,25.344,0.4151,0.4151,0.0572,0.1076,8.8525,1.6069,1.1302
2019-03-31,37730,12016,12333,0,3672,121195,36145,31834,0,9459,142086,263281,99237,102612,24216,127610,226847,41,23226,-7501,0,36434,263281,2019-03-31,40342,33942,6400,0,5198,0,5198,1202,408,1610,427,1183,,1183,,1146,3344,1202,3973,3997,0.29,0.29,2019-03-31,1183,2142,296,2438,-2050,-1083,2944,112,-77,3544,-1633,0,0,0,518,518,-219,-1334,2134,420,2554,0,0,-597,-84,1873,4112,85.0,-597,2019-03-31,1.2213,0.738,4.3136,15.8644,2.9795,2.9795,,3.9909,2.8407,0.1532,2.7521,3.3574,26.8068,3.247,3.247,0.4493,0.8508,8.9255,0.8867,0.4781
2018-12-31,33951,11195,11220,0,3930,114649,36178,31828,0,7929,141891,256540,95569,100720,23588,125005,220574,41,22668,-7366,0,35966,256540,2018-12-31,41793,35754,6039,0,5407,0,5407,632,-649,-17,95,-112,,-112,,-116,2741,632,3974,3998,-0.03,-0.03,2018-12-31,-112,2109,1047,3156,-3267,1532,-5,53,-1687,1357,-2116,0,0,0,593,593,-2143,-3666,2682,-1551,1131,0,0,-597,-8,526,-1848,-8.0,-597,2018-12-31,1.1996,0.7369,4.2877,14.4498,1.5122,1.5122,,-0.0407,-0.2776,0.1629,3.1866,3.7332,24.1081,-0.3114,-0.3114,-0.0437,-0.0819,8.8109,0.3411,-0.1888
2018-09-30,36342,50818,12810,0,3629,114843,35762,32398,0,8367,144123,258966,94750,102668,24228,127597,222347,41,23384,-7429,0,36619,258966,2018-09-30,37666,31568,6098,0,5234,0,5234,864,230,1094,101,993,,993,,991,864,864,3976,4000,0.25,0.25,2018-09-30,3807,6304,544,6848,-1380,-2360,6786,-36,3010,5179,-1981,0,0,0,1763,1763,-3355,-3573,440,467,907,-75,-75,-597,-91,144,1734,199.0,-597,2018-09-30,1.2121,0.7371,4.1899,16.1897,2.2938,2.2938,,2.9045,2.631,0.1454,2.4643,0.7412,121.4257,2.7117,2.7117,0.3834,0.7129,8.9973,1.2943,0.7992
