Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2017-09-30,35145.0,56654.16,31683.74,,5911.759,129394.7,31502.74,10442.54,15616.26,56677.67,171029.7,300402.6,100204.9,92238.72,12217.24,126492.8,226681.4,3607.91,52593.5,,2371.584,73721.24,300402.6
2017-06-30,27347.91,52064.87,28847.08,,5421.407,113681.3,29167.15,9047.777,14230.27,52913.99,157549.7,271289.3,91428.09,81648.88,11270.67,113064.2,204536.3,3377.419,46670.96,,2588.621,66752.98,271289.3
2017-03-31,25672.71,51357.15,28407.3,,5193.156,110630.3,28330.57,8815.47,13362.85,51314.52,153521.5,264068.5,92578.42,78094.49,11751.47,109257.7,201772.4,3270.666,42814.5,,2621.86,62296.07,264068.5
2016-12-31,25967.48,53382.38,28089.93,,5490.949,112930.7,29193.21,8960.14,,52684.12,155959.8,0.0,93460.12,77902.43,12106.2,109993.8,,,45142.64,,,,
2016-09-30,28821.82,51111.68,30277.08,,5594.508,115805.1,28286.14,9308.556,12283.81,46106.43,146586.6,262391.7,92814.38,74662.63,11229.19,108473.0,201287.3,3426.12,40697.17,,2498.724,61104.35,262391.7
2016-06-30,28408.82,50834.22,29598.5,,5193.69,114035.2,28302.62,9188.663,12038.02,45810.0,145975.8,260011.0,94078.45,73701.38,11379.35,106854.2,200932.6,3468.486,38648.2,,2448.277,59078.37,260011.0
2016-03-31,27726.77,48226.66,27841.43,,4822.335,108617.2,26959.43,10778.04,11334.8,43063.65,138233.7,246850.9,87725.92,68061.73,10080.16,98763.05,186489.0,3384.675,40151.95,,2519.212,60361.88,246850.9
2015-12-31,19607.0,44209.0,23760.0,,4739.52,91847.0,67360.0,10751.88,11173.57,86506.66,179436.4,217166.0,77081.0,59831.0,20600.47,88272.61,162542.0,3406.77,36991.0,,2936.26,54624.0,240989.1
2015-09-30,19242.4,45364.03,27632.53,,7753.7,99992.69,,4566.11,10899.02,47936.36,67060.83,234817.6,81001.73,64889.05,24912.22,97280.16,178281.9,3415.68,37589.19,,2278.6,56535.65,234817.6
2015-06-30,18870.65,43224.76,26355.21,,4319.71,92770.35,,9717.96,10663.76,44488.04,69085.48,228503.3,79961.66,63417.33,23484.62,93867.69,173829.4,3396.03,35898.4,,2217.93,54673.93,228503.3
2015-03-31,22421.62,43757.44,26542.5,,4363.55,97085.13,,9631.19,10766.66,44478.68,71716.45,236201.9,86170.6,61401.28,29855.24,97456.46,183627.1,3465.1,33726.68,,1952.65,52574.84,236201.9
2014-12-31,22970.3,47061.2,27734.51,,4782.82,102548.8,,9706.54,12451.55,47143.62,74783.74,252081.8,89028.53,66995.39,30609.79,103787.8,192816.3,4080.95,37867.76,,1490.14,59265.51,252081.8
2014-09-30,26938.71,44839.93,28489.86,,4474.3,104742.8,,11624.97,12280.45,43941.61,71770.67,248394.3,87031.37,66351.63,29788.9,101542.3,188573.7,4073.58,38496.02,,1452.95,59820.63,248394.3
2014-06-30,24658.09,43256.96,27186.33,,6535.25,101636.7,,11431.2,12727.56,41715.05,68846.5,241457.4,84460.35,65548.71,27905.15,98393.71,182854.1,4211.42,37219.67,,927.33,58603.29,241457.4
2014-03-31,26605.5,41827.66,26129.95,,6482.46,101045.6,,10107.43,12859.4,39590.99,65153.54,235272.4,80949.95,63196.49,27072.85,94726.2,175676.2,4207.43,38093.04,,1071.73,59596.19,235272.4
2013-12-31,25464.82,10364.72,23044.67,,34692.53,93566.78,,11451.27,12470.08,37590.88,63941.69,223842.5,78513.15,59436.11,23485.67,87730.22,166243.4,4076.55,36698.27,,1083.89,57599.07,223842.5
2013-09-30,24763.94,39511.82,25126.9,,4085.37,93488.05,,10956.59,12221.68,37210.81,63147.1,220903.0,78778.58,60022.15,22407.3,86766.51,165545.1,4065.5,33744.08,,1828.08,55357.88,220903.0
2013-06-30,22381.81,39182.22,25133.35,,7275.16,93972.56,,6056.76,12028.64,40928.2,61806.92,218461.4,79816.6,60060.95,22691.31,86314.75,166131.4,4005.19,30631.19,,1981.05,52330.02,218461.4
2013-03-31,20948.14,40205.55,25042.94,,7160.59,93357.24,,8213.35,11899.98,42211.99,66167.81,222378.8,80520.74,59728.45,25563.37,88782.95,169303.7,4047.23,29994.99,,3162.23,53075.08,222378.8
2012-12-31,19362.22,37992.68,22789.69,,6613.12,86757.73,,7954.52,11426.99,40536.57,62842.67,209606.0,75517.21,55739.57,14130.38,75558.38,151075.6,3939.32,35981.21,,3143.22,58530.41,209606.0
2012-09-30,18516.96,37464.41,24636.31,,6771.32,87389.01,,8290.52,10917.21,38714.57,60780.49,205173.3,74467.05,54908.92,17047.82,77185.08,151652.2,3831.78,32223.55,,2564.11,53521.12,205173.3
2012-06-30,16787.25,38038.96,24368.06,,6216.03,85410.31,,8962.28,10991.46,38938.54,61943.1,204780.7,72991.1,55540.73,17783.21,78071.09,151062.2,3932.4,31673.85,,2815.65,53718.46,204780.7
2012-03-31,16362.58,37494.6,24378.04,,6187.92,84423.15,,7820.11,10915.38,38321.83,60241.73,200172.7,70110.96,30950.08,38222.2,73898.43,144009.4,4011.66,33515.71,,3044.14,56163.24,200172.7
2011-12-31,17990.79,39568.05,23790.41,,3775.88,85125.15,,11929.33,11503.13,35414.71,62708.01,206318.2,76402.04,49397.04,18489.42,72342.02,148744.1,4261.96,33744.75,,3000.09,57574.17,206318.2
2011-09-30,19305.78,37403.83,24333.65,,3810.18,84853.47,,11928.95,11334.27,33031.52,59935.01,200695.3,72597.44,47547.33,18609.17,71599.21,144196.7,4332.65,31876.15,,3442.05,56498.65,200695.3
2011-06-30,19691.34,36707.77,23048.3,,3791.5,83238.92,,11482.42,11137.08,32291.78,58475.43,195899.0,72091.76,42454.74,20507.2,68123.27,140215.0,4400.15,30546.4,,3614.51,55683.99,195899.0
2011-03-31,17909.0,34269.09,21534.55,,3652.89,77365.55,,6015.24,10362.61,34601.29,54416.02,182105.9,68104.82,37323.19,19802.44,61344.5,129449.3,4180.59,29521.15,,2682.25,52656.59,182105.9
2010-12-31,19227.98,33672.88,19312.97,,3480.42,75694.28,,10516.96,9964.56,30902.88,54854.2,180368.7,70563.27,36996.62,19092.54,59407.58,129970.9,4060.71,27292.32,,3245.38,50397.78,180368.7
2010-09-30,22302.39,31435.72,18560.81,,2897.78,75196.72,,3821.57,9502.32,35999.15,52330.49,174060.9,68243.83,37001.64,18998.19,59893.65,128137.5,3931.23,25166.64,,1634.68,45923.37,174060.9
2010-06-30,18699.96,33079.06,18586.39,,3395.7,73761.13,,9328.29,9279.79,31500.52,53163.58,173788.2,63733.53,42670.23,20145.79,65864.63,129598.2,3887.0,22950.65,,2354.4,44190.06,173788.2
2010-03-31,22578.35,33255.78,19699.07,,4203.91,79737.12,,9592.5,9647.93,31999.03,54455.43,182918.6,67459.32,47030.03,20265.78,70650.34,138109.7,4219.15,23272.53,,2825.23,44808.91,182918.6
2009-12-31,24070.79,30002.02,17913.63,,3712.42,75698.88,,11591.91,9417.73,31721.57,55845.35,179653.8,66296.49,46381.6,19210.61,68971.32,135267.8,4246.55,22540.91,,3065.33,44385.93,179653.8
2009-09-30,27993.73,31419.53,19088.39,,3088.5,81590.16,,12171.06,9291.22,34279.35,59936.33,188665.8,69038.93,50603.68,19771.55,74011.11,143050.0,4350.48,23597.52,,2779.79,45615.77,188665.8
2009-06-30,29417.26,30779.37,18549.07,,3249.97,81995.69,,9724.03,8646.61,33688.81,56202.95,183872.6,74233.08,44291.4,18795.61,66853.2,141086.3,4146.23,22433.78,,2003.64,42786.28,183872.6
2009-03-31,25458.91,30384.84,20990.78,,3328.86,80163.39,,9944.72,8120.06,32871.34,55030.16,180158.7,69872.05,44631.57,17988.92,66768.15,136640.2,3981.55,23598.93,,2292.92,43518.46,180158.7
