Quaterly Data,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2016-09-30,43074.25,33251.22,9823.035,1454.763,4311.108,430.3767,5331.13,4491.902,-72.54,4438.259,1383.033,3055.226,,3055.226,,2908.405,6101.486,4511.11,1069.8,1069.8,2.7235,2.7235
2016-06-30,43628.36,34855.46,8772.895,1419.101,4258.216,-205.618,5891.91,2880.988,707.2548,3568.539,813.4832,2755.056,,2755.056,,2729.214,4375.281,2865.169,1069.8,1069.8,2.5506,2.5506
2016-03-31,38639.32,30982.46,7656.861,1365.441,4049.482,438.9706,4975.58,2681.281,-390.285,2291.912,747.7941,1544.118,,1544.118,,1492.279,4154.779,2682.353,1069.653,1069.653,1.3897,1.3897
2015-12-31,40820.15,23061.47,17758.68,1436.53,2223.96,,3660.49,14098.19,5.63,1645.08,558.75,1086.33,,2119.36,0.0,2119.36,15649.12,14098.19,1104.737,1104.737,1.92,1.92
2015-09-30,41465.82,32537.98,8927.84,1259.46,3696.05,,4955.51,3972.328,-52.29,3927.47,1240.54,2686.93,,2686.446,0.0,2686.446,5461.278,3972.328,1082.96,1082.96,2.48,2.48
2015-06-30,41504.86,32274.49,9230.369,1315.27,4091.83,,5407.1,3823.266,179.2,4009.97,1386.06,2623.91,,2623.432,0.0,2623.432,5215.076,3823.266,1118.868,1118.868,2.34,2.34
2015-03-31,37298.1,30143.06,7155.041,1270.91,3939.16,,5210.07,1944.973,-127.54,3161.48,847.65,2313.83,,2233.354,0.0,2233.354,3487.903,1944.973,1120.219,1120.219,1.99,1.99
2014-12-31,40929.75,35703.9,5225.852,1579.72,4865.7,,6445.42,-1219.566,-413.29,2483.789,1037.21,1446.579,,1254.832,0.0,1254.832,551.9033,-1219.566,1069.8,1069.8,1.17,1.17
2014-09-30,42041.09,33997.83,8043.262,1498.07,4735.7,,6233.77,1809.492,1033.65,4751.62,1008.44,3743.18,,3580.639,0.0,3580.639,3327.772,1809.492,1101.953,1101.953,3.25,3.25
2014-06-30,42460.88,33888.94,8571.938,1471.94,4963.17,,6435.11,2136.824,1078.24,4026.23,1013.76,3012.47,,2832.161,0.0,2832.161,3822.984,2136.824,1069.8,1069.8,2.65,2.65
2014-03-31,40658.64,31583.17,9075.471,1474.65,4396.56,,5871.21,3204.262,-655.09,2261.32,772.96,1488.36,,1498.974,0.0,1498.974,4873.521,3204.262,1131.25,1131.25,1.33,1.33
2013-12-31,43381.44,34068.77,9312.672,1497.11,4680.909,,6178.02,3134.652,-229.95,3113.739,773.84,2339.899,,2265.801,0.0,2265.801,4624.772,3134.652,1095.425,1095.425,2.07,2.07
2013-09-30,41515.34,31111.9,10403.44,1315.42,4408.6,,5724.02,4679.418,-291.44,2744.77,231.82,2512.95,,2616.519,0.0,2616.519,6179.708,4679.418,1102.907,1102.907,2.37,2.37
2013-06-30,39199.59,30206.77,8992.82,1296.75,4605.9,,5902.65,3090.172,3939.9,6605.24,620.3,5984.94,,3741.467,0.0,3741.467,4502.942,3090.172,1068.4,1068.4,3.5,3.5
2013-03-31,33992.63,27423.2,6569.43,1338.07,4381.42,,5719.49,849.9414,-331.54,1003.88,258.89,744.99,,734.497,0.0,734.497,2248.771,849.9414,1128.0,1128.0,0.65,0.65
2012-12-31,40451.84,30539.23,9912.609,1365.89,5851.639,,7217.53,2695.078,1733.16,2688.57,-353.41,3041.98,,3198.99,0.0,3198.99,4110.128,2695.078,1128.708,1128.708,2.83,2.83
2012-09-30,37066.45,27843.65,9222.799,1316.47,4048.27,,5364.74,3858.059,-495.55,2051.04,543.1,1507.94,,1563.25,0.0,1563.25,5075.099,3858.059,1170.1,1170.1,1.34,1.34
2012-06-30,37118.83,28710.41,8408.418,1327.5,4577.52,,5905.02,2503.398,88.67,2592.04,645.12,1946.92,,1946.927,0.0,1946.927,3765.968,2503.398,1130.619,1130.619,1.72,1.72
2012-03-31,35411.42,27091.81,8319.611,1364.75,4073.27,,5438.02,2881.592,-287.11,2594.46,738.09,1856.37,,1754.118,0.0,1754.118,4217.492,2881.592,1070.237,1070.237,1.64,1.64
2011-12-31,39219.91,30038.6,9181.311,1694.01,4859.199,,6553.21,2628.102,68.39,2769.659,363.15,2406.509,,2314.118,0.0,2314.118,3787.271,2628.102,1066.3,1066.3,2.17,2.17
