Quaterly Data,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2018-12-31,2876.151,2010.864,1889.91,-603.3407,3260.68,-2647.861,-3269.252,-3204.13,1364.224,-2609.82,-1016.48,0.0,320.9938,-224.4631,96.5308,27.08,-3504.179,19.77,3066.887,3086.66,0.0,0.0,0.0,-1.4274,3028.51,975.774,0,0.0
2018-09-30,2563.31,1779.937,1113.391,-780.5543,-3561.874,796.377,-2132.815,-5679.914,-2109.0567,-2158.009,-828.47,0.0,557.9999,-169.97,388.0299,-31.609,-2629.937,17215.04,-11800.87,5414.17,38.5777,38.5777,110.84,2.3322,5573.322,726.65,0,110.84
2018-06-30,2891.308,1725.187,1711.925,344.8078,-1698.754,797.536,-2949.312,-3505.697,144.3523,-1710.029,-897.9462,0.0,139.5998,-158.1567,-18.5568,-21.549,-2648.19,0.0,7398.853,7398.853,94.5957,94.5957,-4647.5209,-83.1892,2447.11,253.628,0,-4647.5209
2018-03-31,3991.441,1816.861,1396.451,-4.9168,-2546.902,3054.562,-4429.061,-3926.289,999.3967,-1535.359,-940.3918,0.0,-470.8105,67.6099,-403.2007,122.92,-2756.024,0.0,4402.017,4402.017,-54.0879,-54.0879,-4.9171,-9.8336,4333.178,2441.331,0,-4.9171
2017-12-31,3897.01,1783.977,1358.549,-1063.7002,1534.6,-3230.095,-7309.837,-10158.559,-6424.901,-2808.764,-1038.89,0.0,-678.0995,-55.2351,-733.3342,-100.0858,-4682.059,3968.71,882.5865,4851.29,56.4103,56.4103,0.0,0.45,4903.0,-6262.721,0,0.0
2017-09-30,4440.018,1834.765,1379.249,-959.0175,-1432.546,1772.286,-2955.491,-3569.297,1714.402,-1770.915,-1079.959,0.0,-729.363,-308.7827,-1038.1461,-0.6739,-3889.717,14885.27,-6748.237,8137.033,12.8033,12.8033,-261.048,-11.753,7855.269,5329.206,0,-261.048
2017-06-30,4144.945,1571.989,1199.9605,185.9802,-445.421,498.759,-4374.62,-4144.276,595.702,-1474.419,-990.9721,0.0,-184.861,-327.2304,-512.091,-0.8373,-2978.2783,0.0,7109.3952,7109.3952,60.1472,60.1472,-3825.175,0.0,3089.8189,100.928,0,-3825.175
2017-03-31,3932.257,1479.79,429.3415,37.2995,-1301.22,2414.876,-2407.722,-1282.698,2173.342,-917.278,-902.3629,0.0,2223.414,-116.1246,2107.289,76.7304,364.3543,0.0,-361.1582,-361.1582,-44.7453,-44.7453,0.0,0.0,-418.6879,2114.747,0,0.0
2016-12-31,3765.79,1546.666,1285.526,-95.861,2332.121,-2798.2318,-3252.483,-3830.798,317.178,-2210.163,-905.584,-4090.82,2662.956,-4114.356,-1451.4,-17.0784,-8674.779,17102.99,-12414.8014,4688.19,39.2271,39.2271,0.0,-109.5158,4613.102,-3595.439,0,0.0
2016-09-30,4423.429,1582.814,1287.537,-572.1282,-1010.119,575.3,-3177.43,-4189.324,895.942,-1365.257,-854.644,0.0,-4604.6931,4016.1995,-588.4936,46.7478,-2761.347,0.0,2114.51,2114.51,0.0226,0.0226,9.816,-4.464,2118.168,213.837,0,9.816
2016-06-30,3611.459,1537.686,695.634,-174.9568,-752.817,1144.483,-1927.074,-1709.89,1598.273,-1423.431,-846.679,0.0,1643.2051,-151.2434,1491.9616,-25.1118,-803.33,0.0,4599.334,4599.334,32.923,32.923,-3905.6391,0.0,506.399,1478.912,0,-3905.6391
2016-03-31,2291.912,1472.426,1626.838,-221.603,-1976.78,1916.145,-1625.735,-1908.088,1347.794,-1191.176,-692.647,0.0,-2312.868,-36.3971,-2349.265,35.28,-4197.794,0.0,6264.706,6264.706,-41.9118,-41.9118,-1.1029,0.0,6221.691,3073.897,0,-1.1029
2015-12-31,3064.98,1550.93,1550.93,0.0,0.0,0.0,0.0,-5860.18,-1394.73,-1845.87,0.0,0.0,0.0,0.0,-3414.1,-299.3,-5559.28,0.0,39.94,4471.1,0.0,29.86,302.44,-304.05,4539.3,-2360.61,0,0.0
2015-09-30,3968.6,1488.95,1488.95,0.0,0.0,0.0,0.0,-5397.07,532.67,-1194.51,0.0,0.0,0.0,0.0,-183.24,-765.18,-2142.93,0.0,0.0,4275.98,0.0,25.67,-18.47,0.0,4283.17,2464.42,0,0.0
2015-06-30,3946.96,1391.81,1391.81,0.0,0.0,0.0,0.0,-5544.59,-1009.03,-1039.76,0.0,0.0,0.0,0.0,509.04,-843.35,-1374.06,0.0,0.0,3221.42,0.0,43.74,-3141.7,0.0,123.47,-2685.75,0,0.0
2015-03-31,3161.48,1542.93,1542.93,0.0,0.0,0.0,0.0,-2314.96,2117.44,-1002.28,0.0,0.0,0.0,0.0,-65.46,-644.48,-1712.23,0.0,0.0,1822.85,0.0,-30.47,-50.79,0.0,1741.58,2880.44,0,0.0
2014-12-31,2687.5,1771.47,1771.47,0.0,0.0,0.0,0.0,-7465.64,-6032.48,-1998.82,0.0,0.0,0.0,0.0,-2778.67,3242.39,-1535.09,0.0,2830.07,797.32,0.0,13.3,-11.46,-0.03,3629.21,-3908.38,0,0.0
2014-09-30,4545.76,1518.28,1518.28,0.0,0.0,0.0,0.0,-4028.22,2087.84,-1298.17,0.0,0.0,0.0,0.0,4768.77,-3124.96,345.64,0.0,0.0,2797.1,0.0,43.62,113.61,-3337.13,-382.79,2421.27,0,0.0
2014-06-30,4028.38,1686.16,1686.16,0.0,0.0,0.0,0.0,-3647.48,-69.13,-1511.63,0.0,0.0,0.0,0.0,-2066.6,2301.38,-1276.85,0.0,0.0,-21.92,0.0,-6.88,-3466.58,3323.87,-171.53,-1405.09,0,0.0
2014-03-31,2261.32,1669.26,1669.26,0.0,0.0,0.0,0.0,-1306.08,2320.25,-1352.68,0.0,0.0,0.0,0.0,731.84,-513.93,-1134.77,0.0,0.0,21.92,0.0,-28.78,-45.22,0.0,-52.07,1049.8,0,0.0
2013-12-31,3015.75,1490.12,1490.12,0.0,0.0,0.0,0.0,-3652.69,177.41,-2218.91,0.0,0.0,0.0,0.0,-751.56,-591.05,-3561.54,0.0,1122.41,3033.91,0.0,12.2,-76.98,-0.23,4091.3,580.42,0,0.0
2013-09-30,2854.16,1500.29,1500.29,0.0,0.0,0.0,0.0,-1685.79,2135.79,-36.7,0.0,-2726.71,0.0,0.0,2802.83,-2002.01,-1962.6,0.0,0.0,-1058.98,0.0,35.23,-265.04,-84.78,-1330.47,-1302.61,0,0.0
2013-06-30,6593.84,1412.77,1412.77,0.0,0.0,0.0,0.0,-2409.76,1476.99,-2772.87,0.0,2726.71,0.0,0.0,-1257.05,741.6,-561.59,0.0,0.0,2603.91,0.0,74.65,-3095.84,21.13,-439.22,323.7,0,0.0
