Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2019-06-30,1.1193,0.5902,2.4944,13.0035,-3.9414,-3.9414,,-3.9203,-3.1137,0.145,1.1089,0.7257,124.0164,-2.0104,-2.6769,-0.4222,-0.8238,57.7491,1.651,-0.0489
2019-03-31,1.2289,0.5839,2.2826,19.0715,6.7736,6.7736,,6.6074,5.2773,0.1334,0.9589,0.6645,135.4466,3.1665,4.067,0.7224,1.3176,63.4855,0.6583,-1.0385
2018-12-31,1.2416,0.5731,2.1937,17.6529,5.8593,5.8593,,5.3057,3.3491,0.1655,1.3016,0.8033,112.0433,2.4859,3.2038,0.5831,1.0613,61.7318,1.2759,-1.1598
2018-09-30,1.254,0.5728,2.1529,19.8055,4.8768,4.8768,,5.8317,4.2003,0.1454,1.0038,0.7281,123.6042,2.6864,3.4514,0.6367,1.1475,61.2759,-1.9721,-3.9932
2018-06-30,1.2484,0.5743,2.1361,20.2424,6.5659,6.5659,,6.2077,4.235,0.1509,1.1151,0.7748,116.1613,2.8429,3.655,0.6758,1.2102,60.0075,0.1349,-1.4635
2018-03-31,1.2443,0.5454,1.9344,21.679,7.2464,7.2464,,8.1614,5.7132,0.1514,1.1298,0.7673,117.2929,3.5194,4.4478,0.8958,1.6,62.5229,0.9342,-0.501
2017-12-31,1.2199,0.546,1.951,21.1176,7.3441,7.3441,,7.6032,7.1791,0.1708,1.3394,0.8477,106.1704,4.9356,6.2539,1.2595,2.2405,60.9076,-6.0141,-8.6318
2017-09-30,1.2913,0.5558,1.9749,20.913,8.1016,8.1016,,8.1212,5.2669,0.1594,1.1953,0.8453,106.4759,3.5661,4.5245,0.8751,1.5842,58.6371,1.6109,-0.0522
2017-06-30,1.2434,0.5502,1.9694,21.3374,8.3879,8.3879,,8.8586,5.93,0.1671,1.2361,0.8707,103.3688,4.14,5.2616,1.0187,1.862,56.7181,0.5569,-0.8214
2017-03-31,1.195,0.5562,2.006,20.7428,7.9985,7.9985,,9.5666,6.6274,0.1557,1.1472,0.8006,112.4149,4.5353,5.7739,1.0699,2.0128,54.6663,2.0315,1.1741
