Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Quaterly Data.1,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Quaterly Data.2,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,0.7240569668976136,0.09338608236964903,0.4554572737324278,0.0,0.6258301293254106,0.2996906419180203,0.9128460074878781,0.9927705830342747,0.0,0.748546645750669,1.0,0.9802580984000151,0.9532108632063349,0.4251064315657267,0.5880561138854928,0.4807946574636399,0.9748034769001308,0.9444444444444444,0.6727231984463409,0.827790096082779,0.0,0.7264013272093274,0.9802580984000151,2020-12-31,0.6481257084782864,33075,0.16917647058823532,0.0,5319,0,0.38730158730158726,0.2183777651730006,0.24396936821952775,-3810,-1019,0.019601984103268993,,-2791,,0.019252615844544102,0.3406834940442428,0.2183777651730006,3973,3973,-0.7,-0.7,2020-12-31,0.014057946168352486,1725,1018,2743,961,350,2951,325,4587,0.46196187972395664,-1531,0,0,0,-4234,-4234,20,0.2976382328424563,1702,524,2226,0,0,0,58,0.680329414723078,0.5455376976349143,29.0,0,2020-12-31,0.006938154724268175,0.7817,0.822915579929097,0.030153474193209295,-6.7924,0.20182124734704432,,-10.5975,0.025751125340449793,0.1345,0.33334949338246,3.5977,0.07344953119774267,0.43822420369979154,-9.0585,0.021271556342555537,-1.9773,0.7698132936636268,1.1822,0.45732384248677593
2020-09-30,0.5265973826020016,0.09584094136741732,0.4376875691044069,0.0,0.7672142607479902,0.2080064817883842,0.8536181182102742,0.9815363811307015,0.0,0.7463320107040695,0.9782422652601813,0.9116256822913738,0.903851567185186,0.3588660348736685,0.5558755879732278,0.4176545727539611,0.8566084330721175,0.9444444444444444,0.7247857182872403,0.809653760873273,0.0,0.7625001920152383,0.9116256822913738,2020-09-30,0.7086737286479302,31223,0.5692941176470588,0.0,3927,0,0.2533910533910534,0.5582104367555304,0.35711550733886405,2756,366,0.3292296659296002,,2390,,0.3285500747384156,0.6659812819058424,0.5582104367555304,3976,4005,0.6,0.6,2020-09-30,0.2361134921995543,1520,103,1623,1088,-268,6343,-88,7075,1.0,-1256,0,27113,0,5821,5821,-30333,0.691636565712698,-17274,-2026,-19300,0,0,0,-60,0.0,0.011629426368744311,63.0,0,2020-09-30,0.006681818958593211,0.7622,0.8204314208720539,0.48945127719962156,6.2692,0.5536166384762069,,7.3491,0.3128497301827191,0.1443,0.3067096523973434,3.7078,0.06630985926321736,0.5192682528230741,7.2073,0.2427506400640628,1.714,0.8031929801867064,2.7615,1.0
2020-06-30,1.0,0.07541083384053561,0.4090191123045333,0.0,0.8622859140160782,0.43534784370051205,0.8019394832136502,0.9675456389452332,0.0,0.7187413490818492,0.9510520734497964,1.0000000000000002,0.8992130417222514,0.5807982775213272,0.5261402018276383,0.5533245187459384,1.0000000000000002,0.9444444444444444,0.6802300610632854,0.8177269884586957,0.0,0.7270772208482466,1.0000000000000002,2020-06-30,0.0,17932,0.0,0.0,4198,0,0.27946127946127947,0.1959018718094158,0.5765156349712827,1084,-34,0.25321221538277655,,1118,,0.25273542600896864,0.34266874645490647,0.1959018718094158,3975,3992,0.28,0.28,2020-06-30,0.18159609120521175,2070,-3712,-1642,11033,1243,-2679,42,9639,0.8379066710483076,-1175,0,-27113,0,-5574,-5574,22761,0.0,7215,-167,7048,0,0,0,-111,0.8265857798453512,0.7779955572977917,69.0,0,2020-06-30,0.030264709400686957,0.7953,0.8250390241309872,0.0,-14.2429,0.0011527563805603935,,5.596,0.3007796529496836,0.0719,0.016871091288117535,2.127,0.23967635537479187,0.5014115370357822,3.6234,0.18586106944272132,0.7417,0.7728532005260549,2.2842,0.8507150786913081
2020-03-31,0.5858352578906851,0.02505579224994929,0.49526141209919444,0.0,0.8878014680181754,0.4383861820056716,0.8030442521328178,0.8854735528163521,0.0,0.6420596105933377,0.9009971907499396,0.9510813497645978,0.9201904365599031,0.49154256447061506,0.5202138461219669,0.48863814624745094,0.9503771531963274,0.9444444444444444,0.6593527665216337,0.8182955256125988,0.0,0.7093042903884852,0.9510813497645978,2020-03-31,0.5843333463628192,30522,0.2775294117647059,0.0,5356,0,0.3908609908609908,0.2810550198525241,0.35756222080408423,-1146,847,0.06729217713500268,,-1993,,0.06678624813153962,0.43292682926829273,0.2810550198525241,3963,3963,-0.5,-0.5,2020-03-31,0.048259900565746625,2142,1609,3751,-1041,-1177,194,-207,-2231,0.05019717384160368,-1780,0,1340,0,-3246,-3246,572,0.4438455126424007,13743,-622,13121,0,0,-596,-71,1.0,0.9999999999999999,38.0,-596,2020-03-31,0.02641967291556299,0.7939,0.8248185599357504,0.19120151371807004,-4.5396,0.2624971719761692,,-3.3392,0.06536839771453677,0.1299,0.24560042662529702,5.1804,0.0,0.44992107749153976,-6.7109,0.05395711852745792,-1.383,0.757815363387448,-0.1194,0.014301573826160763
2019-12-31,0.13475750577367207,0.07804828565631973,0.4537197915021323,0.0,0.9999999999999999,0.2500276212573198,0.8751611121340452,0.9354033390544546,0.0,0.5477530681923042,0.9439359267734554,0.8984394050231652,0.9647153854626899,0.2786304989642292,0.5247518597567293,0.34540483607108463,0.8385759868943852,0.9444444444444444,0.7115086553005546,0.8599692989936892,0.0,0.7635601161308161,0.8984394050231652,2019-12-31,0.79521557284134,34812,0.4075294117647059,0.0,5360,0,0.3912457912457912,0.3591179807146909,0.20497766432673897,-2436,-764,0.08647582621167751,,-1672,,0.08597907324364724,0.5059557572319909,0.3591179807146909,3972,4004,-0.43,-0.43,2019-12-31,0.06201782959026231,2071,1333,3404,-1031,1996,34,169,1168,0.3273085770621098,-2274,0,0,0,-708,-708,-2368,0.3195887746596277,249,-290,-41,0,0,-595,-53,0.5868799899415352,0.25787272964850383,-10.0,-595,2019-12-31,0.00027342481671990826,0.7531,0.8200913745352043,0.2584305686954693,-1.1507,0.35377231445470314,,-6.1337,0.09785427629370928,0.1536,0.37390313666553554,4.2996,0.034204881386685954,0.4582881588335413,-5.0316,0.06611551605517522,-1.2423,0.8041038742642779,0.727,0.2515509697642526
2019-09-30,0.237913779830639,0.10612700344897545,0.5852156057494866,0.0,0.7284166375393218,0.2814606120870622,0.8097956177499539,0.9523586622978103,0.0,0.548768109255329,0.924522334468196,0.8948755463020277,0.976403490521008,0.2483892540819157,0.49170102985971526,0.3062770320238444,0.8075601794686846,0.9444444444444444,0.7538981531624059,0.8534879754391949,0.0,0.7966942656569225,0.8948755463020277,2019-09-30,0.6886995270296682,32282,0.3845882352941177,0.0,4969,0,0.35363155363155363,0.3730147475893364,0.3467134652201659,-19,-442,0.21167752345664256,,423,,0.21136023916292976,0.5160947249007375,0.3730147475893364,3970,4007,0.11,0.11,2019-09-30,0.1518086747814161,2018,818,2836,2016,-610,297,-230,1473,0.477817942819586,-1805,0,26202,0,-705,-705,-28239,0.3642122811892193,392,-1165,-773,-237,-237,-598,-24,0.5572389514050419,0.34378675029400235,69.0,-598,2019-09-30,0.0012987678794196267,0.7377,0.8185230276820354,0.27852412488174083,-0.7056,0.3657604421413258,,-0.0514,0.2068592373517429,0.1433,0.2200271488825326,3.4827,0.08138783920409332,0.4893140717238191,1.1954,0.15754034941294565,0.3136,0.8340825302373714,1.1847,0.43923463723633516
2019-06-30,0.26551193225558123,0.11261919253398255,0.5841099352392987,0.0,0.5538273331003145,0.32928221559312054,0.882035229853311,0.9710823321370988,0.0,0.5554120143951279,0.9378244125690686,0.9326430701705026,0.9671876338624598,0.30883912114440437,0.4979796514639756,0.3514443224346191,0.8476349988385883,0.9444444444444444,0.7572407611435827,0.876570583887657,0.0,0.8081998187376149,0.9326430701705026,2019-06-30,0.7615213227533909,33657,0.44200000000000006,0.0,5106,0,0.3668109668109668,0.39790130459444134,0.33860880663688575,205,55,0.1953624574194705,,150,,0.1947982062780269,0.5580686330119116,0.39790130459444134,3984,4013,0.04,0.04,2019-06-30,0.14010800617178126,2259,289,2548,1803,-97,1985,74,3765,0.6200295760762407,-1920,0,-26202,0,352,352,25280,0.4785218116143374,-1668,-349,-2017,0,0,-599,-65,0.524266046394669,0.5340389389781784,84.0,-599,2019-06-30,0.007348291949348051,0.7407,0.8183448847385628,0.3124618942499737,0.2316,0.3910025748483641,,0.5276,0.19123566754605606,0.1482,0.24753963252048294,3.5511,0.07660275015280762,0.4854262413354645,0.4151,0.1455060171661234,0.1076,0.8439730073518315,1.6069,0.568961013517926
2019-03-31,0.25327174749807546,0.1344288902414283,0.5758963828779025,0.0,0.6417336595595945,0.3816521194711451,0.8552752715890259,0.9398242055442866,0.0,0.43268432222939934,0.9215735521199605,0.9429313675838913,0.9782393185406392,0.2990359991518097,0.501792411778114,0.3502790041010242,0.857403083242662,0.9444444444444444,0.7657746820787661,0.8728750923872874,0.0,0.8127774620193859,0.9429313675838913,2019-03-31,0.8197240354923191,33942,0.5836470588235294,0.0,5198,0,0.3756613756613757,0.4767441860465117,0.35730695596681555,1610,427,0.25709675491543654,,1183,,0.2544693572496263,0.6286159954622803,0.4767441860465117,3973,3997,0.29,0.29,2019-03-31,0.18438196468369622,2142,296,2438,-2050,-1083,2944,112,-77,0.3802168912257641,-1633,0,0,0,518,518,-219,0.5427618782995277,2134,420,2554,0,0,-597,-84,0.6674105739611492,0.7186070821899908,85.0,-597,2019-03-31,0.010373053984312264,0.738,0.8183192951444729,0.44338273940922945,2.9795,0.46501330517878503,,3.9909,0.24126933114197902,0.1532,0.25866582634411217,3.3574,0.09066105154710508,0.4995361309635322,3.247,0.18972965047426774,0.8508,0.8479076385744777,0.8867,0.35603735388232227
2018-12-31,0.1078137028483448,0.11777236762020694,0.48799557731795923,0.0,0.6868227892345333,0.2611129525282656,0.8573006812741666,0.9395121443802986,0.0,0.29150133800867406,0.9197596323789324,0.8797103895860297,0.933347204033926,0.26817492292886613,0.4887792950537723,0.32109002084127036,0.7807132290915317,0.9444444444444444,0.7553547085955445,0.8805503439649781,0.0,0.8055884114963363,0.8797103895860297,2018-12-31,0.8764413868584607,35754,0.5411764705882354,0.0,5407,0,0.39576719576719577,0.4363301191151447,0.2898532227185705,-17,95,0.17970477499551785,,-112,,0.17901345291479823,0.5858621667612025,0.4363301191151447,3974,3998,-0.03,-0.03,2018-12-31,0.12887879307388994,2109,1047,3156,-3267,1532,-5,53,-1687,0.20054222806441013,-2116,0,0,0,593,593,-2143,0.41317032509030294,2682,-1551,1131,0,0,-597,-8,0.6250707235808135,0.3292173004050699,-8.0,-597,2018-12-31,0.006664729907548239,0.7369,0.8181918392816016,0.3690318511510564,1.5122,0.4254936921601793,,-0.0407,0.1778414210715804,0.1629,0.36398894652639746,3.7332,0.06472508082466141,0.4818064684569055,-0.3114,0.13412584730947522,-0.0819,0.8417308065455016,0.3411,0.13828119898125776
2018-09-30,0.1998460354118552,0.9216473929803205,0.6135681566893068,0.0,0.6342188046137713,0.26468530180827154,0.8317682440311789,0.9691579549591719,0.0,0.33191842760911694,0.9405220367993153,0.9024628139478177,0.9233235830467402,0.29994943481168557,0.5020410700594707,0.3501333393093249,0.8023888406665283,0.9444444444444444,0.7687251405202518,0.8769685598953891,0.0,0.8156192875466597,0.9024628139478177,2018-09-30,0.7151233240823985,31568,0.5481176470588236,0.0,5234,0,0.3791245791245791,0.45277935337492914,0.3459476707083599,1094,101,0.24574194705073807,,993,,0.2452017937219731,0.45277935337492914,0.45277935337492914,3976,4000,0.25,0.25,2018-09-30,0.29684553403051606,6304,544,6848,-1380,-2360,6786,-36,3010,0.5145415708182715,-1981,0,0,0,1763,1763,-3355,0.4183384273409281,440,467,907,-75,-75,-597,-91,0.6130634311938141,0.5632431726120475,199.0,-597,2018-09-30,0.008800861288172646,0.7371,0.8177105580696784,0.46048039524860707,2.2938,0.44654496288555395,,2.9045,0.23700391962231682,0.1454,0.18890289426479867,0.7412,1.0,0.49686900856588234,2.7117,0.1822970122824628,0.7129,0.8517775909277105,1.2943,0.4608829099457977
