Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Quaterly Data.1,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Quaterly Data.2,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2023-06-30,1.0,1.0,0.9986755411912964,0.9285770847339728,,1.0,1.0,,0.8626436518474428,1.0000000000000002,1.0,1.0,1.0,0.07127598671101391,1.0,0.6851446006025103,1.0,1.0,1.0,0.40766283524904223,,1.0,1.0,2023-06-30,0.936667549251422,19172.0,0.7236318610464552,1.0000000000000002,1253.0,,1.0,0.5274624683693393,0.6755050505050506,2045.0,167.0,0.5927978881594576,,1878.0,,0.5794018715940512,0.734281899915022,0.5274624683693393,3176.0,3493.0,0.58,0.53,2023-06-30,0.0,-2200.0,-856.0,-3056.0,504.0,2116.0,0.0,945.0,2631.0,0.0,4132.0,0,76.0,1947.0,-138,1809.0,1.0,1.0,765.0,0,765.0,-294.0,-294.0,0,90.0,0.3889063482086738,0.46809910107432584,-863.0,0,2023-06-30,0.3122541162756812,0.0165,0.7088368925103619,0.6574650400240347,9.6241,0.9770438654281687,,11.7824,0.9835217141283181,0.2752,0.5725819134993447,7.2315,0.15772906598875203,0.308115339877985,5.0827,0.9328534926636641,4.9539,1.0,0.8792,0.5609885729471167
2023-03-31,0.9707743232323373,0.8680437013683637,1.0000000000000002,1.0,,0.9799474550237176,0.9461220061858007,,0.7367336660409322,0.9639839887978832,0.9382743303086327,0.958448979803042,0.9943320885970125,0.10579462686299258,0.8634194311224191,0.6518581126188704,0.9820517551645684,1.0,0.8893692981752811,0.5494252873563219,,0.9412686151528314,0.958448979803042,2023-03-31,1.0,20394.0,0.7849893903325768,0.8078113236157567,1191.0,,0.8817003046217157,0.6678748841791051,1.0,2937.0,323.0,0.7566583333834265,,2614.0,,0.7709926589172326,0.7654843993266462,0.6678748841791051,3171.0,3478.0,0.85,0.78,2023-03-31,0.8766365688487585,1154.0,398.0,1552.0,-472.0,-576.0,0.0,-190.0,-1101.0,0.8094212399325715,-2060.0,0,-76.0,-1536.0,138,-1398.0,0.0,0.21376244958432794,-357.0,0,-357.0,63.0,63.0,0,-34.0,0.24921433060967946,0.25586494189870645,445.0,0,2023-03-31,0.3039122832580503,0.0254,0.7092480459827398,0.6786870863276866,11.4193,0.9813430217618447,,12.0022,0.983400180729587,0.2687,0.5141284403669725,7.7945,0.13078136054584916,0.30840216641298296,5.2427,0.9340955723890516,5.0679,0.9505175765855709,0.7246,0.4537602976348658
2022-12-31,0.9613508880784253,0.8561269431218943,0.8929279615700609,0.9111871575387662,,0.9324425648748934,0.8922060701224365,,0.7558109366176763,0.9328017054149979,0.8865147843695174,0.9087491831597938,0.9679181681484743,0.13384102198647527,0.769619654189562,0.6252165019006212,0.9520688490522003,1.0,0.7865150792757181,0.44521072796934874,,0.8773077234357094,0.9087491831597938,2022-12-31,0.9358241875103186,18818.0,0.7811869518979438,0.6561762211474547,1076.0,,0.7604431168589741,0.726472191564283,0.49242424242424243,2800.0,261.0,0.7399605977967448,,2539.0,,0.7292934875586579,1.0000000000000002,0.726472191564283,3166.0,3468.0,0.8,0.73,2022-12-31,0.8681715575620768,1046.0,458.0,1504.0,-32.0,-1540.0,0.0,-755.0,-1530.0,0.7577261659486795,-2072.0,0,0.0,-411.0,0,-411.0,-1.0,0.30018931599308585,-408.0,0,-408.0,231.0,231.0,0,-56.0,0.26414204902577,0.33665862749397063,418.0,0,2022-12-31,0.2910899023750546,0.0339,0.7098004036779546,0.7601470097631735,16.0416,0.9924125350869064,,16.3788,0.9942724667655687,0.2953,0.5849017038007863,8.2378,0.1121526986677539,0.3136015364170976,8.2232,0.9850111625866229,7.8728,0.8963480636855656,0.9366,0.6379883072017007
2022-09-30,0.9145376940880234,0.6352309366019743,0.7178205653877647,0.7320088005452984,,0.8199153563348662,0.8306637419769216,,0.7748882071944203,0.8522395750944733,0.8225386996373188,0.82126869572011,0.8916920263313725,0.17690302557606866,0.6250899516736034,0.5613759988275208,0.870990506052838,1.0,0.6356103816701912,0.0,,0.7856285297375526,0.82126869572011,2022-09-30,0.9755425095079999,18541.0,1.0,0.6905585990327092,1032.0,,0.7726955853088678,1.0,0.42424242424242425,3983.0,276.0,0.9999999999999999,,3707.0,,1.0000000000000002,0.95110945952064,1.0,3130.0,3475.0,1.17,1.07,2022-09-30,1.0,989.0,773.0,1762.0,-698.0,-1973.0,0.0,-890.0,-2191.0,0.829368795654617,-1858.0,0,0.0,-4349.0,0,-4349.0,76.0,0.0,-497.0,0,-497.0,67.0,67.0,0,-65.0,0.22297297297297297,0.0,419.0,0,2022-09-30,0.26573655835640386,0.049,0.7105977922304453,0.7846627677868727,17.1903,0.9951634491246145,,16.9479,0.9943964163352487,0.2883,0.6437221494102228,9.7874,0.06029882604055492,0.3136623570406835,8.2688,0.9841529984127189,7.7829,0.8181493352950449,1.4685,1.0
2022-06-30,0.8193479712429763,0.6029684935444597,0.5631377182028461,0.6556173346520694,,0.7110195312244847,0.7990578484225357,,0.8092272942325596,0.8311986422342893,0.7979984594301607,0.7558905205139863,0.7903236108548642,0.24611289908078587,0.566699951857156,0.5826768670707828,0.8075232298789929,0.3315508021390374,0.5009544404924904,0.35632183908045983,,0.7192348637622471,0.7558905205139863,2022-06-30,0.8605240320546537,16072.0,0.9317289462872731,0.6226754426951553,961.0,,0.695800783312983,0.9529010321771967,0.2550505050505051,3636.0,305.0,0.9162886855921027,,3331.0,,0.9037538044858843,0.7010919801587083,0.9529010321771967,3146.0,3468.0,1.05,0.95,2022-06-30,0.9575620767494357,956.0,582.0,1538.0,-193.0,-2300.0,0.0,-529.0,231.0,1.0,-1803.0,0,0.0,-988.0,0,-988.0,0.0,0.2749197464811919,-899.0,0,-899.0,229.0,229.0,0,-42.0,0.18887492143306095,0.491887743915808,362.0,0,2022-06-30,0.2542255573364418,0.0722,0.7119143139551303,0.7831292657437392,14.5506,0.9888418788405211,,14.6097,0.9895532016681245,0.2472,0.6490170380078637,8.1374,0.11619380523545142,0.309977332418027,6.1658,0.9466067027138635,5.6534,0.7674215753244706,0.6814,0.6688812117990965
2022-03-31,0.780177747699987,0.6698186007807513,0.4643609744168931,0.6298429782734597,,0.6614134632421549,0.7586114108127213,,0.8416586542130244,0.9057896970134102,0.791504404598048,0.7285252264779376,0.7770258187170858,0.2681185321776723,0.5541258677382677,0.5939172669309299,0.8027249274302143,0.3315508021390374,0.4084961513981359,0.6835249042145595,,0.6753683043036639,0.7285252264779376,2022-03-31,0.6790004573028641,12700.0,0.7333107952437026,0.5644898801201091,961.0,,0.7279107006299459,0.6822478086320732,0.33333333333333337,2474.0,205.0,0.679848749684691,,2269.0,,0.6709146476566531,0.9191119919711399,0.6822478086320732,3111.0,3464.0,0.73,0.65,2022-03-31,0.8376975169300226,922.0,506.0,1428.0,176.0,-1559.0,0.0,-372.0,-1346.0,0.7425547855403634,-794.0,0,0.0,-90.0,0,-90.0,0.0,0.43188739813976457,-402.0,0,-402.0,43.0,43.0,0,-47.0,0.2369578881206788,0.4463933347950011,361.0,0,2022-03-31,0.22624945359172377,0.0828,0.7126909371807331,0.85884039966897,19.2099,1.0,,19.3325,1.0,0.284,0.8695674967234601,8.116,0.1170721763217536,0.31578120653308694,9.5092,1.0,8.6089,0.7317271819662656,1.1506,0.7955753388254053
2021-12-31,0.7668894013539175,0.554138849997951,0.3992533677153546,0.532956241043023,,0.6168776287276323,0.7152434200172075,,0.8473818353860476,0.8661720846910816,0.749560954741796,0.6853267602965871,0.7134434792604946,0.44865102017252073,0.5117786649010918,0.7041477075483943,0.8033733466800492,1.0,0.27261234449541044,0.7632183908045977,,0.6000480808140791,0.6853267602965871,2021-12-31,0.7521721283643155,13296.0,0.9452103189191534,0.7390465678452477,992.0,,0.7646681059796271,0.9341056694310076,0.34974747474747475,3626.0,346.0,0.9049342253931593,,3280.0,,0.9084872239373981,0.7159976327438792,0.9341056694310076,3103.0,3472.0,1.07,0.95,2021-12-31,0.9518058690744922,880.0,437.0,1317.0,-409.0,-633.0,0.0,-557.0,-602.0,0.8965162015358681,-1767.0,-9,0.0,-386.0,0,-386.0,-5.0,0.32628199851839657,-2068.0,0,-2068.0,202.0,202.0,0,-48.0,0.0,0.3421398816049112,418.0,0,2021-12-31,0.23400845111467283,0.1446,0.7161213691825936,0.8264765025831768,14.7469,0.9893119793242001,,14.871,0.9890390404901929,0.2852,1.0,9.2624,0.07592363867470892,0.3125529536081438,7.6674,0.9614245525286808,6.4617,0.6666018601229573,1.3439,0.9127026308796173
2021-09-30,0.6968867402105707,0.5683808293656827,0.36035610375447824,0.5400985325696256,,0.5689616385679048,0.65506701284163,,0.8721822871358149,0.8445624779698115,0.7024308340295332,0.6378161871762229,0.653349085282665,0.5516028644257971,0.5031068827501343,0.7341428077276818,0.7730013890177801,0.3315508021390374,0.1776983239510067,0.8137931034482759,,0.54016735379769,0.6378161871762229,2021-09-30,0.7105261223869691,12872.0,0.839260557081428,0.628846638725842,1494.0,,0.9239501958282458,0.7151949739165695,0.3484848484848485,2635.0,292.0,0.6963238487968836,,2343.0,,0.6860165097162451,0.5776731767534942,0.7151949739165695,2959.0,3386.0,0.7833,0.68,2021-09-30,0.8460496613995485,848.0,539.0,1387.0,18.0,-534.0,0.0,-443.0,855.0,0.9517699943809702,-1810.0,0,0.0,-102.0,0,-102.0,-4.0,0.3469421351551568,-1456.0,0,-1456.0,262.0,262.0,0,-63.0,0.10323695788812068,0.5124972593729445,558.0,0,2021-09-30,0.23757831851959776,0.1875,0.7191157293198109,0.8126491800740578,14.5671,0.9888813931450585,,13.6803,0.9857387925910535,0.2379,0.8459764089121886,7.0117,0.1694266904896094,0.3097220620906287,6.0505,0.9323082680569357,4.8329,0.6274289317429458,0.9301,0.6313446718044113
2021-06-30,0.7027058199830326,0.6169198202720335,0.3278720087620618,0.4953815769248087,,0.5619044217140651,0.593107319955301,,0.9027059200586054,0.8336628956323289,0.65144285896156,0.6080958193504051,0.5923100394043375,0.6752658927702606,0.4814274273727405,0.8109004553914485,0.7614854631407114,0.3315508021390374,0.11147543251467842,0.8796934865900384,,0.49718195666884246,0.6080958193504051,2021-06-30,0.5514118738987854,10097.0,0.6341017197219173,0.5151203118746155,994.0,,0.6797458246545015,0.5805317278879909,0.16666666666666666,1882.0,223.0,0.5440405002463472,,1659.0,,0.5264326539223481,0.4242443261434693,0.5805317278879909,2993.0,3369.0,0.54,0.48,2021-06-30,0.7688487584650113,761.0,728.0,1489.0,135.0,-488.0,0.0,-820.0,-1.0,0.8171005806330773,-1819.0,0,0.0,-30.0,0,-30.0,-6.0,0.35196312453699896,-1526.0,0,-1526.0,192.0,192.0,0,-47.0,0.08375235700817096,0.3391800043850033,475.0,0,2021-06-30,0.28245665161008304,0.2348,0.7221973038299568,0.7668136887175168,10.9717,0.9802711064460284,,10.8129,0.9803961553887861,0.2168,0.8329226736566187,5.6167,0.2649952633914117,0.3073331337711713,4.6822,0.9086764914635248,3.5147,0.5973727076874573,0.6387,0.4895030560722827
2021-03-31,0.7423103032105339,0.5474538392743219,0.285977285392014,0.4767495120728017,,0.5621784883880007,0.5249250982059235,,0.938952734154419,0.8366010439146068,0.6045913610638762,0.5840585873365184,0.5380288878911105,0.7772684744193576,0.4737673531393947,0.8792743794026193,0.751292312533306,0.3315508021390374,0.06473467724874091,0.8314176245210729,,0.46306564994581334,0.5840585873365184,2021-03-31,0.4791638847442567,9074.0,0.49997934584577547,0.4842643317211819,973.0,,0.6442559160410162,0.4275153629425454,0.2967171717171717,1293.0,115.0,0.4369523560170957,,1178.0,,0.41914181302136644,0.26962302332663085,0.4275153629425454,2913.0,3357.0,0.3933,0.34,2021-03-31,0.7145598194130925,681.0,589.0,1270.0,-259.0,-581.0,0.0,-404.0,-324.0,0.7212961228694512,-1505.0,0,0.0,0.0,0,0.0,-10.0,0.37994896699316816,-1588.0,0,-1588.0,70.0,70.0,0,-31.0,0.05735386549340038,0.25509756632317476,474.0,0,2021-03-31,0.3379353052600903,0.275,0.725893532015981,0.7152570551231316,5.7176,0.9676885544781323,,5.1304,0.9675080579301147,0.1961,0.8649017038007865,5.4968,0.27547276150276406,0.30266299133808544,1.9864,0.8680201571795434,1.4096,0.5749356313383427,0.4828,0.18648684560191336
